concept	facet	property	facet_property
paleoclimatology	applications	understanding climate change	applications: understanding climate change
orology	applications	science	applications: science
paleoecology	applications	conservation efforts	applications: conservation efforts
comparative psychology	applications	animal welfare	applications: animal welfare
comparative psychology	applications	conservation	applications: conservation
comparative psychology	applications	understanding animal behavior	applications: understanding animal behavior
pneumatics	applications	air tools	applications: air tools
plasma physics	applications	space plasma	applications: space plasma
plasma physics	applications	stars and galaxies	applications: stars and galaxies
physiology	applications	biotechnology	applications: biotechnology
photochemistry	applications	solar energy	applications: solar energy
anthropology	applications	addressing social issues	applications: addressing social issues
applied mathematics	applications	physics	applications: physics
photochemistry	applications	air pollution control	applications: air pollution control
applied mathematics	applications	biology	applications: biology
pharmacokinetics	applications	personalized medicine	applications: personalized medicine
pharmacokinetics	applications	dosage adjustment	applications: dosage adjustment
pharmacogenetics	applications	identifying genetic biomarkers	applications: identifying genetic biomarkers
pharmacogenetics	applications	predicting treatment outcomes	applications: predicting treatment outcomes
pharmacogenetics	applications	tailoring drug therapy	applications: tailoring drug therapy
applied mathematics	applications	computer science	applications: computer science
computational linguistics	applications	chatbots	applications: chatbots
experimental psychology	applications	understanding human behavior	applications: understanding human behavior
epidemiology	applications	research	applications: research
entomology	applications	environmental monitoring	applications: environmental monitoring
thermodynamics	applications	power plants	applications: power plants
thermochemistry	applications	biomedical research	applications: biomedical research
descriptive linguistics	applications	speech recognition	applications: speech recognition
calculus	applications	economics	applications: economics
calculus	applications	engineering	applications: engineering
calculus	applications	physics	applications: physics
thermodynamics	applications	transportation	applications: transportation
descriptive linguistics	applications	natural language processing	applications: natural language processing
developmental anatomy	applications	surgery	applications: surgery
developmental anatomy	applications	research	applications: research
developmental psychology	applications	mental health	applications: mental health
dialect geography	applications	language planning	applications: language planning
brain science	applications	robotics	applications: robotics
statistical mechanics	applications	designing materials	applications: designing materials
developmental anatomy	applications	medicine	applications: medicine
statistical mechanics	applications	understanding chemical reactions	applications: understanding chemical reactions
descriptive linguistics	applications	language planning	applications: language planning
topology	applications	study of spaces	applications: study of spaces
agrology	applications	pesticide use	applications: pesticide use
agrology	applications	irrigation	applications: irrigation
agrology	applications	crop rotation	applications: crop rotation
agrobiology	applications	ecosystem conservation	applications: ecosystem conservation
aeronautics	applications	military use	applications: military use
aeronautics	applications	commercial aviation	applications: commercial aviation
topology	applications	analysis of functions	applications: analysis of functions
aeromechanics	applications	weather forecasting	applications: weather forecasting
aeromechanics	applications	space exploration	applications: space exploration
aeromechanics	applications	aviation	applications: aviation
cryonics	applications	medical research	applications: medical research
cryonics	applications	space travel	applications: space travel
cryonics	applications	future revival	applications: future revival
vector algebra	applications	data analysis	applications: data analysis
aeromechanics	applications	renewable energy	applications: renewable energy
statistical mechanics	applications	studying phase transitions	applications: studying phase transitions
derivational morphology	applications	word formation	applications: word formation
derivational morphology	applications	language teaching	applications: language teaching
seismology	applications	earthquake prediction	applications: earthquake prediction
rheology	applications	understanding complex fluids	applications: understanding complex fluids
rheology	applications	optimizing manufacturing processes	applications: optimizing manufacturing processes
descriptive grammar	applications	language teaching	applications: language teaching
descriptive grammar	applications	language documentation	applications: language documentation
descriptive grammar	applications	language assessment	applications: language assessment
serology	applications	diagnosing diseases	applications: diagnosing diseases
radiochemistry	applications	energy production	applications: energy production
dynamics	applications	biology	applications: biology
quantum field theory	applications	condensed matter	applications: condensed matter
quantum field theory	applications	particle physics	applications: particle physics
quantum electrodynamics	applications	optics	applications: optics
quantum electrodynamics	applications	quantum computing	applications: quantum computing
electromagnetism	applications	electricity generation	applications: electricity generation
dialect geography	applications	cultural preservation	applications: cultural preservation
serology	applications	monitoring treatment	applications: monitoring treatment
set theory	applications	mathematical modeling	applications: mathematical modeling
set theory	applications	philosophy	applications: philosophy
derivational morphology	applications	natural language processing	applications: natural language processing
brain science	applications	computing	applications: computing
brain science	applications	education	applications: education
brain science	applications	medicine	applications: medicine
solid state physics	applications	spintronics	applications: spintronics
solid state physics	applications	optoelectronics	applications: optoelectronics
sociology	applications	evaluating social programs	applications: evaluating social programs
sociology	applications	developing social policies	applications: developing social policies
sociology	applications	understanding social problems	applications: understanding social problems
social science	applications	research	applications: research
social science	applications	social work	applications: social work
social science	applications	policy making	applications: policy making
social anthropology	applications	promoting cultural understanding	applications: promoting cultural understanding
social anthropology	applications	improving public policy	applications: improving public policy
social anthropology	applications	understanding social change	applications: understanding social change
cryogenics	applications	storage of superconducting materials	applications: storage of superconducting materials
cryobiology	applications	preservation of blood	applications: preservation of blood
cryobiology	applications	preservation of sperm	applications: preservation of sperm
applied psychology	applications	performance coaching	applications: performance coaching
catoptrics	applications	telescopes	applications: telescopes
catoptrics	applications	mirrors	applications: mirrors
catoptrics	applications	lenses	applications: lenses
cybernetics	applications	control systems	applications: control systems
cybernetics	applications	artificial intelligence	applications: artificial intelligence
cybernetics	applications	robotics	applications: robotics
catoptrics	applications	microscopes	applications: microscopes
derivational morphology	applications	lexicography	applications: lexicography
cognitive neuroscience	applications	developing treatments	applications: developing treatments
cognitive neuroscience	applications	enhancing cognitive abilities	applications: enhancing cognitive abilities
cryogenics	applications	cryogenic storage	applications: cryogenic storage
cryogenics	applications	superconductors	applications: superconductors
comparative psychology	applications	improving human-animal relationships	applications: improving human-animal relationships
comparative psychology	applications	developing animal welfare policies	applications: developing animal welfare policies
climatology	applications	weather prediction	applications: weather prediction
dietetics	applications	sports performance	applications: sports performance
dietetics	applications	weight loss	applications: weight loss
dietetics	applications	chronic disease management	applications: chronic disease management
electron optics	applications	materials science	applications: materials science
electron optics	applications	beam manipulation	applications: beam manipulation
electron optics	applications	microscopy	applications: microscopy
electromagnetism	applications	medical imaging	applications: medical imaging
electrochemistry	applications	electrolysis	applications: electrolysis
economic geology	applications	construction materials	applications: construction materials
economic geology	applications	energy production	applications: energy production
crystallography	applications	materials science	applications: materials science
crystallography	applications	pharmaceuticals	applications: pharmaceuticals
crystallography	applications	biotechnology	applications: biotechnology
econometrics	applications	microeconomic analysis	applications: microeconomic analysis
econometrics	applications	macroeconomic policy	applications: macroeconomic policy
dynamics	applications	aerospace engineering	applications: aerospace engineering
dynamics	applications	robotics	applications: robotics
dynamics	applications	mechanical systems	applications: mechanical systems
compound morphology	applications	medicine	applications: medicine
limnology	applications	water resource management	applications: water resource management
compound morphology	applications	agriculture	applications: agriculture
computational linguistics	applications	natural language processing	applications: natural language processing
biomedical science	applications	research	applications: research
biomedical science	applications	healthcare	applications: healthcare
biomedical science	applications	medicine	applications: medicine
astrometry	applications	determining star velocities	applications: determining star velocities
astrometry	applications	studying star distances	applications: studying star distances
demography	applications	population growth	applications: population growth
criminology	applications	criminal justice reform	applications: criminal justice reform
demography	applications	migration patterns	applications: migration patterns
astrodynamics	applications	spacecraft design	applications: spacecraft design
architectonics	applications	landscape design	applications: landscape design
architectonics	applications	urban planning	applications: urban planning
architectonics	applications	building construction	applications: building construction
applied psychology	applications	organizational development	applications: organizational development
applied psychology	applications	education and training	applications: education and training
demography	applications	social trends	applications: social trends
criminology	applications	crime investigation	applications: crime investigation
biotechnology	applications	environmental protection	applications: environmental protection
biotechnology	applications	food processing	applications: food processing
comparative psychology	applications	education	applications: education
cognitive neuroscience	applications	psychiatry	applications: psychiatry
clinical psychology	applications	research	applications: research
clinical psychology	applications	education	applications: education
clinical psychology	applications	mental health treatment	applications: mental health treatment
clinical anatomy	applications	research	applications: research
clinical anatomy	applications	clinical practice	applications: clinical practice
cytology	applications	diagnosis	applications: diagnosis
cytology	applications	research	applications: research
cytology	applications	medicine	applications: medicine
clinical anatomy	applications	medical education	applications: medical education
classical mechanics	applications	physics experiments	applications: physics experiments
brain science	applications	research	applications: research
brain science	applications	treatment	applications: treatment
brain science	applications	diagnosis	applications: diagnosis
compound morphology	applications	environmental monitoring	applications: environmental monitoring
kinesiology	applications	athletic training	applications: athletic training
zoology	applications	environmental management	applications: environmental management
ethnology	applications	policy making	applications: policy making
geodesy	applications	map-making	applications: map-making
geochemistry	applications	understanding earth's history	applications: understanding earth's history
geochemistry	applications	environmental monitoring	applications: environmental monitoring
geochemistry	applications	mineral exploration	applications: mineral exploration
aeromechanics	applications	rocket propulsion	applications: rocket propulsion
neuroscience	applications	understanding brain disorders	applications: understanding brain disorders
fluid mechanics	applications	water supply systems	applications: water supply systems
optics	applications	lenses	applications: lenses
neuroscience	applications	improving cognitive functions	applications: improving cognitive functions
descriptive linguistics	applications	language preservation	applications: language preservation
descriptive linguistics	applications	language documentation	applications: language documentation
descriptive linguistics	applications	language teaching	applications: language teaching
gross anatomy	applications	medical education	applications: medical education
acoustics	applications	car stereo	applications: car stereo
acoustics	applications	auditorium	applications: auditorium
gross anatomy	applications	diagnosis	applications: diagnosis
fluid mechanics	applications	ship design	applications: ship design
gross anatomy	applications	surgery	applications: surgery
group theory	applications	algebra	applications: algebra
biomedical science	applications	prognosis	applications: prognosis
criminology	applications	crime policy	applications: crime policy
cryogenics	applications	medical treatment	applications: medical treatment
fractal geometry	applications	medical imaging	applications: medical imaging
neurolinguistics	applications	natural language processing	applications: natural language processing
etymology	applications	language learning	applications: language learning
etymology	applications	text analysis	applications: text analysis
dynamics	applications	sports	applications: sports
thermochemistry	applications	material science	applications: material science
etymology	applications	cultural preservation	applications: cultural preservation
femtochemistry	applications	studying molecular dynamics	applications: studying molecular dynamics
ichthyology	applications	food production	applications: food production
ichthyology	applications	ecotourism	applications: ecotourism
hemodynamics	applications	diagnostic tool	applications: diagnostic tool
toxicology	applications	environmental protection	applications: environmental protection
biogeography	applications	understanding of climate change	applications: understanding of climate change
formal semantics	applications	programming languages	applications: programming languages
craniology	applications	anthropology	applications: anthropology
ichthyology	applications	management	applications: management
formal semantics	applications	artificial intelligence	applications: artificial intelligence
formal semantics	applications	natural language processing	applications: natural language processing
toxicology	applications	public health	applications: public health
biomedical science	applications	diagnosis	applications: diagnosis
biomedical science	applications	therapy	applications: therapy
biogeography	applications	conservation	applications: conservation
bioclimatology	applications	wildlife management	applications: wildlife management
biophysics	applications	medical diagnosis	applications: medical diagnosis
nuclear physics	applications	medical treatments	applications: medical treatments
descriptive grammar	applications	communication	applications: communication
demography	applications	policy-making	applications: policy-making
cytology	applications	cancer treatment	applications: cancer treatment
molecular genetics	applications	development of new medicines	applications: development of new medicines
vector algebra	applications	3d modeling	applications: 3d modeling
molecular biology	applications	therapies	applications: therapies
hydrodynamics	applications	shipbuilding	applications: shipbuilding
hydrology	applications	water conservation	applications: water conservation
celestial mechanics	applications	predicting orbits	applications: predicting orbits
celestial mechanics	applications	calculating gravitational forces	applications: calculating gravitational forces
hydrostatics	applications	dam construction	applications: dam construction
hyperbolic geometry	applications	space exploration	applications: space exploration
celestial mechanics	applications	understanding planetary motion	applications: understanding planetary motion
chemistry	applications	food production	applications: food production
criminology	applications	law reform	applications: law reform
fluid mechanics	applications	hydraulic systems	applications: hydraulic systems
criminology	applications	criminal justice system	applications: criminal justice system
hyperbolic geometry	applications	computer graphics	applications: computer graphics
ichthyology	applications	conservation	applications: conservation
biology	applications	medicine	applications: medicine
numerical analysis	applications	computational biology	applications: computational biology
genetics	applications	forensic science	applications: forensic science
biology	applications	agriculture	applications: agriculture
biophysics	applications	research	applications: research
hemodynamics	applications	treatment planning	applications: treatment planning
hemodynamics	applications	research tool	applications: research tool
cognitive psychology	applications	human-computer interaction	applications: human-computer interaction
historical linguistics	applications	language documentation	applications: language documentation
biotechnology	applications	genetic engineering	applications: genetic engineering
genetics	applications	medicine	applications: medicine
biotechnology	applications	medical research	applications: medical research
genetics	applications	agriculture	applications: agriculture
biophysics	applications	treatment	applications: treatment
historical linguistics	applications	language preservation	applications: language preservation
forensic medicine	applications	proving innocence	applications: proving innocence
biotechnology	applications	pesticide production	applications: pesticide production
brain science	applications	treatment of neurological disorders	applications: treatment of neurological disorders
vector algebra	applications	machine learning	applications: machine learning
forensic medicine	applications	identifying victims	applications: identifying victims
forensic medicine	applications	solving crimes	applications: solving crimes
brain science	applications	development of artificial intelligence	applications: development of artificial intelligence
brain science	applications	improving education	applications: improving education
biology	applications	conservation	applications: conservation
historical linguistics	applications	cultural heritage	applications: cultural heritage
astrophysics	applications	space exploration	applications: space exploration
craniology	applications	archaeology	applications: archaeology
information science	applications	data visualization	applications: data visualization
geodesy	applications	mapping	applications: mapping
geodesy	applications	navigation	applications: navigation
paleodendrology	applications	reconstructing past climates	applications: reconstructing past climates
fractal geometry	applications	computer graphics	applications: computer graphics
embryology	applications	diagnostic tool	applications: diagnostic tool
astrophysics	applications	search for extraterrestrial life	applications: search for extraterrestrial life
astrodynamics	applications	space mission planning	applications: space mission planning
organic chemistry	applications	food industry	applications: food industry
genetic engineering	applications	industry	applications: industry
organic chemistry	applications	biotechnology	applications: biotechnology
ethnology	applications	cultural preservation	applications: cultural preservation
embryology	applications	understanding disease	applications: understanding disease
epidemiology	applications	developing vaccines	applications: developing vaccines
genetic engineering	applications	agriculture	applications: agriculture
epidemiology	applications	tracking disease spread	applications: tracking disease spread
astronomy	applications	gps technology	applications: gps technology
geodesy	applications	engineering	applications: engineering
genetic engineering	applications	medicine	applications: medicine
fractal geometry	applications	image compression	applications: image compression
astrophysics	applications	understanding the universe	applications: understanding the universe
embryology	applications	medical research	applications: medical research
electron optics	applications	electron beam lithography	applications: electron beam lithography
electron optics	applications	electron microscopy	applications: electron microscopy
ethnology	applications	cross-cultural understanding	applications: cross-cultural understanding
electromagnetism	applications	magnetic resonance imaging	applications: magnetic resonance imaging
electron optics	applications	electron beam welding	applications: electron beam welding
electrochemistry	applications	sensors	applications: sensors
computational linguistics	applications	language translation	applications: language translation
paleodendrology	applications	studying environmental changes	applications: studying environmental changes
fractal geometry	applications	modeling natural phenomena	applications: modeling natural phenomena
astrophysics	applications	predicting celestial events	applications: predicting celestial events
fourier analysis	applications	signal processing	applications: signal processing
economic geography	applications	economic policy making	applications: economic policy making
economic geography	applications	resource management	applications: resource management
elementary geometry	applications	science	applications: science
fourier analysis	applications	audio processing	applications: audio processing
fourier analysis	applications	filter design	applications: filter design
fourier analysis	applications	image processing	applications: image processing
epidemiology	applications	informing policy decisions	applications: informing policy decisions
developmental psychology	applications and implications	education	applications and implications: education
developmental psychology	applications and implications	clinical practice	applications and implications: clinical practice
developmental psychology	applications and implications	public policy	applications and implications: public policy
social psychology	applications and implications	marketing and advertising	applications and implications: marketing and advertising
social psychology	applications and implications	education and training	applications and implications: education and training
social psychology	applications and implications	mental health and therapy	applications and implications: mental health and therapy
aerology	applications in	environmental monitoring	applications in: environmental monitoring
mammalogy	applications in	conservation	applications in: conservation
mammalogy	applications in	medicine	applications in: medicine
mammalogy	applications in	agriculture	applications in: agriculture
mammalogy	applications in	ecotourism	applications in: ecotourism
developmental anatomy	applications in	biotechnology	applications in: biotechnology
aerology	applications in	agriculture	applications in: agriculture
economic geology	applications in	environmental consulting	applications in: environmental consulting
economic geology	applications in	oil and gas extraction	applications in: oil and gas extraction
aerology	applications in	aviation	applications in: aviation
microbiology	applications in	environmental science	applications in: environmental science
economic geology	applications in	mining	applications in: mining
differential calculus	applications in	computer science	applications in: computer science
demography	applications in	resource allocation	applications in: resource allocation
demography	applications in	policy making	applications in: policy making
astrodynamics	applications in	space mission planning	applications in: space mission planning
astrodynamics	applications in	spacecraft design	applications in: spacecraft design
demography	applications in	planning	applications in: planning
differential calculus	applications in	economics	applications in: economics
differential calculus	applications in	engineering	applications in: engineering
astrodynamics	applications in	asteroid deflection	applications in: asteroid deflection
analytic geometry	applications in	physics	applications in: physics
alienism	applications in	understanding universe	applications in: understanding universe
alienism	applications in	search for life	applications in: search for life
analytic geometry	applications in	geographic information systems	applications in: geographic information systems
analytic geometry	applications in	engineering	applications in: engineering
analytic geometry	applications in	computer graphics	applications in: computer graphics
alienism	applications in	space exploration	applications in: space exploration
microbiology	applications in	food industry	applications in: food industry
developmental anatomy	applications in	medicine	applications in: medicine
developmental anatomy	applications in	genomics	applications in: genomics
microbiology	applications in	medicine	applications in: medicine
cognitive psychology	applications in	design	applications in: design
analytic geometry	applications in	artificial intelligence	applications in: artificial intelligence
analytic geometry	applications in	computer science	applications in: computer science
cognitive psychology	applications in	therapy	applications in: therapy
agrobiology	applications in	bioremediation	applications in: bioremediation
cognitive psychology	applications in	education	applications in: education
agrobiology	applications in	agriculture	applications in: agriculture
cognitive psychology	applications in	marketing	applications in: marketing
agrobiology	applications in	ecological conservation	applications in: ecological conservation
differential calculus	applications in	physics	applications in: physics
social psychology	applications in real life	education	applications in real life: education
social psychology	applications in real life	therapy	applications in real life: therapy
social psychology	applications in real life	marketing	applications in real life: marketing
biogeography	applications of	climate change research	applications of: climate change research
physiological psychology	applications of	medicine	applications of: medicine
biogeography	applications of	ecological restoration	applications of: ecological restoration
biogeography	applications of	conservation biology	applications of: conservation biology
enzymology	applications of	food processing	applications of: food processing
enzymology	applications of	medicine	applications of: medicine
zoology	applications of	conservation	applications of: conservation
zoology	applications of	wildlife management	applications of: wildlife management
zoology	applications of	medicine	applications of: medicine
enzymology	applications of	biotechnology	applications of: biotechnology
physiological psychology	applications of	therapy	applications of: therapy
physiological psychology	applications of	behavioral interventions	applications of: behavioral interventions
enzymology	applications of enzymes	biotechnology	applications of enzymes: biotechnology
enzymology	applications of enzymes	food processing	applications of enzymes: food processing
enzymology	applications of enzymes	medicine	applications of enzymes: medicine
statics	applications of statics	machine design	applications of statics: machine design
statics	applications of statics	building design	applications of statics: building design
statics	applications of statics	bridge construction	applications of statics: bridge construction
geology	applied in	oil exploration	applied in: oil exploration
geology	applied in	construction	applied in: construction
home economics	applied in	community	applied in: community
genetics	applied in	agriculture	applied in: agriculture
microeconomics	applied in	business strategy	applied in: business strategy
mechanics	applied in	astronomy	applied in: astronomy
social anthropology	applied in	community development	applied in: community development
social anthropology	applied in	policy making	applied in: policy making
home economics	applied in	daily life	applied in: daily life
agrology	applied in	ecological conservation	applied in: ecological conservation
genetics	applied in	medicine	applied in: medicine
agrology	applied in	farm management	applied in: farm management
mechanics	applied in	physics	applied in: physics
mechanics	applied in	engineering	applied in: engineering
microeconomics	applied in	policy making	applied in: policy making
microeconomics	applied in	resource allocation	applied in: resource allocation
elementary geometry	applied in	architecture	applied in: architecture
social anthropology	applied in	societal issues	applied in: societal issues
elementary geometry	applied in	design	applied in: design
grammar	applied in	language teaching	applied in: language teaching
grammar	applied in	reading	applied in: reading
grammar	applied in	reading comprehension	applied in: reading comprehension
grammar	applied in	writing	applied in: writing
agrology	applied in	food production	applied in: food production
grammar	applied in	speaking	applied in: speaking
economic geography	applied in	regional development	applied in: regional development
psephology	applied in	political campaigns	applied in: political campaigns
architectonics	applied in	urban planning	applied in: urban planning
architectonics	applied in	interior design	applied in: interior design
criminology	applied in	law enforcement	applied in: law enforcement
geochemistry	applied in	mineral exploration	applied in: mineral exploration
geochemistry	applied in	understanding geological processes	applied in: understanding geological processes
petrology	applied in	oil and gas exploration	applied in: oil and gas exploration
radiobiology	applied in	space exploration	applied in: space exploration
radiobiology	applied in	cancer treatment	applied in: cancer treatment
petrology	applied in	mining	applied in: mining
petrology	applied in	environmental monitoring	applied in: environmental monitoring
geology	applied in	natural disaster response	applied in: natural disaster response
biology	applied in	medicine	applied in: medicine
biology	applied in	agriculture	applied in: agriculture
biology	applied in	conservation	applied in: conservation
biology	applied in	environmental science	applied in: environmental science
geology	applied in	mining	applied in: mining
geology	applied in	engineering	applied in: engineering
economic geography	applied in	urban planning	applied in: urban planning
economic geography	applied in	international trade	applied in: international trade
architectonics	applied in	construction industry	applied in: construction industry
home economics	applied in	family	applied in: family
criminology	applied in	policy making	applied in: policy making
physics	applied in	environmental science	applied in: environmental science
physics	applied in	engineering	applied in: engineering
physics	applied in	astronomy	applied in: astronomy
physics	applied in	medicine	applied in: medicine
psephology	applied in	news reporting	applied in: news reporting
criminology	applied in	forensic science	applied in: forensic science
criminology	applied in	social work	applied in: social work
developmental anatomy	applied in	regenerative medicine	applied in: regenerative medicine
geology	applied in	environmental conservation	applied in: environmental conservation
developmental anatomy	applied in	understanding disease	applied in: understanding disease
psephology	applied in	academic research	applied in: academic research
nuclear physics	applied in	medicine	applied in: medicine
nuclear physics	applied in	space exploration	applied in: space exploration
genetics	applied in	forensic science	applied in: forensic science
economics	applied in	international relations	applied in: international relations
economics	applied in	government	applied in: government
astrodynamics	applied in	space mission planning	applied in: space mission planning
astrodynamics	applied in	spacecraft design	applied in: spacecraft design
astrodynamics	applied in	asteroid deflection	applied in: asteroid deflection
economics	applied in	business	applied in: business
geochemistry	applied in	environmental monitoring	applied in: environmental monitoring
nuclear physics	applied in	energy production	applied in: energy production
developmental anatomy	applied in	developing treatments	applied in: developing treatments
elementary geometry	applied in	engineering	applied in: engineering
comparative psychology	applied in	conservation	applied in: conservation
phonology	applied in	speech recognition	applied in: speech recognition
physical anthropology	applied in	forensic science	applied in: forensic science
statistical mechanics	applied in	biology	applied in: biology
physical anthropology	applied in	archaeology	applied in: archaeology
toxicology	applied in	environmental science	applied in: environmental science
phonology	applied in	speech therapy	applied in: speech therapy
physical anthropology	applied in	conservation biology	applied in: conservation biology
biochemistry	applied in	medicine	applied in: medicine
solid geometry	applied in	engineering	applied in: engineering
toxicology	applied in	law enforcement	applied in: law enforcement
phonology	applied in	language teaching	applied in: language teaching
comparative psychology	applied in	animal training	applied in: animal training
comparative psychology	applied in	animal welfare	applied in: animal welfare
solid geometry	applied in	architecture	applied in: architecture
toxicology	applied in	medicine	applied in: medicine
statistical mechanics	applied in	engineering	applied in: engineering
solid geometry	applied in	design	applied in: design
biochemistry	applied in	pharmaceuticals	applied in: pharmaceuticals
kinematics	applied in	engineering	applied in: engineering
kinematics	applied in	astronomy	applied in: astronomy
statistical mechanics	applied in	astronomy	applied in: astronomy
biochemistry	applied in	agriculture	applied in: agriculture
kinematics	applied in	biomechanics	applied in: biomechanics
statistical mechanics	applied in	chemistry	applied in: chemistry
social psychology	applied to	education	applied to: education
social psychology	applied to	therapy	applied to: therapy
astrodynamics	applied to	space missions	applied to: space missions
rheology	applied to	biological systems	applied to: biological systems
geology	applied to	natural disaster response	applied to: natural disaster response
mechanics	applied to	designing machines	applied to: designing machines
rheology	applied to	fluid dynamics	applied to: fluid dynamics
rheology	applied to	materials science	applied to: materials science
social psychology	applied to	business	applied to: business
geology	applied to	engineering	applied to: engineering
astrodynamics	applied to	space stations	applied to: space stations
astrodynamics	applied to	satellites	applied to: satellites
microeconomics	applied to	personal finance	applied to: personal finance
microeconomics	applied to	government	applied to: government
geology	applied to	construction	applied to: construction
geology	applied to	mining	applied to: mining
lexical semantics	applied to	natural language processing	applied to: natural language processing
kinematics	applied to	cars	applied to: cars
agronomy	applied to	agriculture	applied to: agriculture
agronomy	applied to	forestry	applied to: forestry
agronomy	applied to	horticulture	applied to: horticulture
kinematics	applied to	airplanes	applied to: airplanes
kinematics	applied to	bicycles	applied to: bicycles
kinematics	applied to	robots	applied to: robots
microeconomics	applied to	individual decision making	applied to: individual decision making
microeconomics	applied to	business strategy	applied to: business strategy
microeconomics	applied to	policy making	applied to: policy making
functional anatomy	applied to	animal body	applied to: animal body
paleozoology	applied to	understanding modern ecosystems	applied to: understanding modern ecosystems
microeconomics	applied to	business	applied to: business
paleozoology	applied to	reconstructing ancient environments	applied to: reconstructing ancient environments
earth science	applied to	understanding natural disasters	applied to: understanding natural disasters
astrodynamics	applied to	spacecraft design	applied to: spacecraft design
petroleum geology	applied to	environmental monitoring	applied to: environmental monitoring
sociology	applied to	business	applied to: business
sociology	applied to	healthcare	applied to: healthcare
neuropsychiatry	applied to	education	applied to: education
neuropsychiatry	applied to	research	applied to: research
cytology	applied to	understanding diseases	applied to: understanding diseases
sociology	applied to	politics	applied to: politics
biology	applied to	food production	applied to: food production
cytology	applied to	research	applied to: research
paleontology	applied to	understanding evolution	applied to: understanding evolution
petroleum geology	applied to	oil production	applied to: oil production
comparative psychology	applied to	understanding human behavior	applied to: understanding human behavior
comparative psychology	applied to	conservation	applied to: conservation
cytology	applied to	diagnosis	applied to: diagnosis
biology	applied to	medicine	applied to: medicine
functional anatomy	applied to	human body	applied to: human body
biology	applied to	agriculture	applied to: agriculture
neuropsychiatry	applied to	clinical practice	applied to: clinical practice
biology	applied to	environmental conservation	applied to: environmental conservation
comparative psychology	applied to	animal welfare	applied to: animal welfare
petroleum geology	applied to	oil exploration	applied to: oil exploration
astrodynamics	applied to	space exploration	applied to: space exploration
paleontology	applied to	reconstructing ancient environments	applied to: reconstructing ancient environments
aerology	applied to	meteorology	applied to: meteorology
earth science	applied to	conserving the environment	applied to: conserving the environment
earth science	applied to	exploring for natural resources	applied to: exploring for natural resources
earth science	applied to	predicting weather	applied to: predicting weather
economic geography	applied to	urban planning	applied to: urban planning
dynamics	applied to	physics	applied to: physics
social psychology	applied to	marketing	applied to: marketing
dynamics	applied to	engineering	applied to: engineering
astrodynamics	applied to	space mission planning	applied to: space mission planning
dynamics	applied to	mechanics	applied to: mechanics
sociology	applied to	education	applied to: education
agrobiology	applied to	conservation	applied to: conservation
physical chemistry	applied to	biotechnology	applied to: biotechnology
aerology	applied to	environmental science	applied to: environmental science
aerology	applied to	aviation	applied to: aviation
functional anatomy	applied to	physical therapy	applied to: physical therapy
functional anatomy	applied to	medicine	applied to: medicine
functional anatomy	applied to	surgery	applied to: surgery
paleontology	applied to	dating geological events	applied to: dating geological events
agrobiology	applied to	agriculture	applied to: agriculture
physical chemistry	applied to	materials science	applied to: materials science
physical chemistry	applied to	environmental science	applied to: environmental science
economic geography	applied to	resource management	applied to: resource management
functional anatomy	applied to	plant body	applied to: plant body
economic geography	applied to	trade and commerce	applied to: trade and commerce
economics	applied to	personal finance	applied to: personal finance
lexical semantics	applied to	computational linguistics	applied to: computational linguistics
mechanics	applied to	predicting motion	applied to: predicting motion
lexical semantics	applied to	human-computer interaction	applied to: human-computer interaction
zoology	applied to	animal welfare	applied to: animal welfare
zoology	applied to	wildlife management	applied to: wildlife management
agrobiology	applied to	environmental management	applied to: environmental management
geology	applied to	environmental conservation	applied to: environmental conservation
zoology	applied to	conservation	applied to: conservation
mechanics	applied to	optimizing efficiency	applied to: optimizing efficiency
economics	applied to	business decisions	applied to: business decisions
economics	applied to	public policy	applied to: public policy
ecology	applies to	forestry	applies to: forestry
radiochemistry	applies to	environmental remediation	applies to: environmental remediation
morphology	applies to	organisms	applies to: organisms
genetics	applies to	humans	applies to: humans
celestial mechanics	applies to	stars	applies to: stars
radiochemistry	applies to	nuclear medicine	applies to: nuclear medicine
radiochemistry	applies to	nuclear energy	applies to: nuclear energy
classical mechanics	applies to	engineering	applies to: engineering
microeconomics	applies to	government	applies to: government
microeconomics	applies to	business	applies to: business
microeconomics	applies to	household	applies to: household
geopolitics	applies to	local	applies to: local
morphology	applies to	cells	applies to: cells
geopolitics	applies to	regional	applies to: regional
celestial mechanics	applies to	planetary systems	applies to: planetary systems
classical mechanics	applies to	everyday life	applies to: everyday life
civics	applies to	individuals	applies to: individuals
economics	applies to	individuals	applies to: individuals
aeromechanics	applies to	wind turbines	applies to: wind turbines
aeromechanics	applies to	spacecraft	applies to: spacecraft
aeromechanics	applies to	helicopters	applies to: helicopters
aeromechanics	applies to	airplanes	applies to: airplanes
microeconomics	applies to	economy as a whole	applies to: economy as a whole
microeconomics	applies to	individuals	applies to: individuals
classical mechanics	applies to	macroscopic objects	applies to: macroscopic objects
genetics	applies to	living organisms	applies to: living organisms
genetics	applies to	plants	applies to: plants
genetics	applies to	animals	applies to: animals
civics	applies to	society	applies to: society
civics	applies to	communities	applies to: communities
statistical mechanics	applies to	gases	applies to: gases
economics	applies to	business	applies to: business
celestial mechanics	applies to	galaxies	applies to: galaxies
statistical mechanics	applies to	liquids	applies to: liquids
economics	applies to	government	applies to: government
geopolitics	applies to	international	applies to: international
