concept	facet	property
electric motor	power	low
electric motor	speed range	low speed
electric motor	operation	produces motion
electric motor	power output	very high
electric motor	speed range	variable
electric motor	speed range	high speed
electric motor	speed control	variable
electric motor	speed control	fixed
electric motor	power	high
electric motor	performance	efficiency
electric motor	performance	power output
electric motor	performance	speed
electric motor	performance	torque
electric motor	speed range	high
electric motor	operation	rotates shaft
electric motor	operation	uses electricity
electric motor	function	generates mechanical energy
electric motor	purpose	pumping fluid
electric motor	purpose	powers devices
electric motor	purpose	converts electrical energy
electric motor	purpose	generates torque
electric motor	purpose	producing rotation
electric motor	purpose	generating torque
electric motor	function	produces rotational motion
electric motor	function	producing motion
electric motor	function	produces mechanical energy
electric motor	power output	low
electric motor	operating principle	electromagnetic attraction
electric motor	operating principle	electrostatic induction
electric motor	operating principle	electrostatic attraction
electric motor	function	powers devices
electric motor	function	converts electrical energy to mechanical energy
electric motor	function	generates torque
electric motor	measures	efficiency
electric motor	measures	torque
electric motor	measures	speed
electric motor	measures	power
electric motor	operating principle	electromagnetic induction
electric motor	mechanism	rotor
electric motor	size	large
electric motor	size	small
electric motor	operation	works on electricity
electric motor	operation	uses electromagnetic induction
electric motor	operation	electromagnetic induction
electric motor	operation	electrical current flow
electric motor	operation	uses electrical current
electric motor	operation	produces magnetic field
electric motor	operation	has moving parts
electric motor	operation	produces rotation
electric motor	operation	produces torque
electric motor	size	compact
electric motor	operation	produces rotational motion
electric motor	principle	mechanical advantage
electric motor	principle	electromagnetic
electric motor	principle	induction
electric motor	principle	electrostatic
electric motor	principle	direct current
electric motor	principle	electromagnetic induction
electric motor	operation	converts electrical energy
electric motor	operation	produces mechanical motion
electric motor	function	converts electrical energy
electric motor	operation	rotates
electric motor	noise level	high
electric motor	function	generating torque
electric motor	types	induction motor
electric motor	components	coil
electric motor	components	bearings
electric motor	components	windings
electric motor	components	magnets
electric motor	components	winding
electric motor	components	coils
electric motor	components	commutator
electric motor	components	brushes
electric motor	components	magnet
electric motor	component	bearings
electric motor	component	commutator
electric motor	component	brushes
electric motor	component	windings
electric motor	component	magnets
electric motor	component	coils
electric motor	component	bearing
electric motor	component	magnet
electric motor	component	coil
electric motor	component	brush
electric motor	characteristics	power
electric motor	characteristics	efficiency
electric motor	characteristics	compact
electric motor	application	robotics
electric motor	components	brush
electric motor	application	appliances
electric motor	components	electrical connections
electric motor	used in	pumps
electric motor	construction	brushes
electric motor	construction	magnets
electric motor	construction	coils
electric motor	construction	windings
electric motor	advantages	quiet operation
electric motor	construction	electromagnetic
electric motor	construction	winding
electric motor	construction	bearing
electric motor	construction	coil
electric motor	used in	pump
electric motor	construction	commutator
electric motor	construction	magnet
electric motor	used in	medical equipment
electric motor	used in	electric power transmission
electric motor	used in	air conditioner
electric motor	used in	electric bicycle
electric motor	construction	bearings
electric motor	construction	mechanical
electric motor	construction	electrical contacts
electric motor	used in	fan
electric motor	used in	industrial automation
electric motor	used in	electric guitars
electric motor	used in	fans
electric motor	design consideration	reliability
electric motor	construction	magnetic field
electric motor	application	electric bicycles
electric motor	application	wind turbines
electric motor	control	used in robotics
electric motor	control	regulated by speed
electric motor	control	position control
electric motor	control	automatic
electric motor	control	used in medical devices
electric motor	control	speed control
electric motor	control	manual
electric motor	applications	medical equipment
electric motor	control	analog
electric motor	control	digital
electric motor	control	controlled by current
electric motor	applications	pumps
electric motor	applications	consumer appliances
electric motor	applications	fans
electric motor	applications	wind turbines
electric motor	applications	air conditioners
electric motor	applications	electric vehicles
electric motor	applications	electric bicycles
electric motor	applications	medical devices
electric motor	applications	cars
electric motor	applications	power tools
electric motor	design consideration	vibration resistance
electric motor	design consideration	noise reduction
electric motor	control	voltage control
electric motor	application	aerospace
electric motor	control	current control
electric motor	characteristics	quiet
electric motor	characteristics	torque output
electric motor	application	electric vehicle
electric motor	characteristics	power density
electric motor	application	industrial automation
electric motor	characteristics	speed range
electric motor	application	industry
electric motor	application	cars
electric motor	application	automotive
electric motor	application	transportation
electric motor	application	industrial machinery
electric motor	application	consumer appliances
electric motor	application	home appliances
electric motor	application	medical devices
electric motor	application	electric vehicles
electric motor	characteristics	powerful
electric motor	characteristics	efficient
electric motor	characteristics	speed
electric motor	characteristics	high-torque
electric motor	applications	aerospace
electric motor	applications	home appliances
electric motor	applications	industrial machinery
electric motor	characteristics	reliable
electric motor	characteristics	torque
electric motor	applications	industry
electric motor	advantages	low maintenance
electric motor	design consideration	heat dissipation
electric motor	uses	electric power
electric motor	efficiency	medium
electric motor	efficiency	measured by efficiency rating
electric motor	types	dc motor
electric motor	uses	mechanical work
electric motor	efficiency	inefficient
electric motor	efficiency	efficient
electric motor	types	brushless
electric motor	uses	industrial equipment
electric motor	efficiency	high
electric motor	types	dc
electric motor	uses	electric vehicles
electric motor	uses	heating systems
electric motor	uses	industrial machinery
electric motor	types	ac
electric motor	types	stepper
electric motor	efficiency	highly efficient
electric motor	efficiency	low energy loss
electric motor	efficiency	measured in percentage
electric motor	uses	pumps
electric motor	efficiency	affected by load
electric motor	efficiency	dependent on design
electric motor	efficiency	measured in efficiency
electric motor	types	stepper motor
electric motor	construction	electromagnetic coil
electric motor	construction	housing
electric motor	types	servo
electric motor	uses	power tools
electric motor	uses	vehicles
electric motor	efficiency	energy-efficient
electric motor	efficiency	low
electric motor	types	ac motor
electric motor	types	induction
electric motor	efficiency	energy conversion
electric motor	uses	appliances
electric motor	advantages	reliable
electric motor	advantages	high efficiency
electric motor	efficiency	power transmission
electric motor	uses	fans
electric motor	efficiency	high efficiency
electrical signalling	direction	unidirectional
electrical signalling	mechanism	electrochemical gradient
electrical signalling	medium	electrical wire
electrical signalling	medium	nerve fibre
electrical signalling	medium	axon
electrical signalling	direction	one-way
electrical signalling	direction	bidirectional
electrical signalling	measured in	amperes
electrical signalling	direction	two-way
electrical signalling	function	controling muscles
electrical signalling	function	control
electrical signalling	function	information transfer
electrical signalling	duration	short
electrical signalling	function	information transmission
electrical signalling	function	enabling reflexes
electrical signalling	medium	optical fibers
electrical signalling	function	transmitting data
electrical signalling	function	transmit data
electrical signalling	function	control movement
electrical signalling	function	control of muscles and glands
electrical signalling	function	muscle contraction
electrical signalling	function	transmit information
electrical signalling	function	control device
electrical signalling	function	control movements
electrical signalling	function	stimulus response
electrical signalling	duration	long
electrical signalling	importance	control of bodily functions
electrical signalling	function	stimulating muscles
electrical signalling	function	controlling devices
electrical signalling	function	communicating between neurons
electrical signalling	function	communication between neurons
electrical signalling	function	nerve impulse
electrical signalling	direction	directional
electrical signalling	mechanism	voltage change
electrical signalling	importance	essential for life
electrical signalling	medium	synapse
electrical signalling	destination	computer
electrical signalling	signal strength	weak
electrical signalling	destination	receiver
electrical signalling	signal strength	strong
electrical signalling	regulation	neurotransmitters
electrical signalling	destination	heart
electrical signalling	destination	muscle
electrical signalling	destination	muscle cells
electrical signalling	speed	fastest in neurons
electrical signalling	speed	millisecond range
electrical signalling	applications	medical devices
electrical signalling	speed	minutes
electrical signalling	regulation	receptors
electrical signalling	applications	computer networks
electrical signalling	speed	dependent on medium
electrical signalling	applications	neurotransmission
electrical signalling	mechanism	ion channel
electrical signalling	medium	wireless
electrical signalling	medium	nerve axon
electrical signalling	medium	muscle
electrical signalling	medium	electrical wires
electrical signalling	control	influenced by
electrical signalling	medium	neural network
electrical signalling	function	regulating body functions
electrical signalling	mechanism	action potential
electrical signalling	medium	optical fiber
electrical signalling	structures	axon
electrical signalling	duration	millisecond range
electrical signalling	control	regulated by
electrical signalling	medium	electrical cable
electrical signalling	locations	spinal cord
electrical signalling	locations	nerve cells
electrical signalling	structures	dendrites
electrical signalling	locations	brain
electrical signalling	structures	neurons
electrical signalling	duration	millisecond
electrical signalling	function	transmitting signals
electrical signalling	mechanism	neurotransmitters
electrical signalling	function	communicating information
electrical signalling	functions	communication
electrical signalling	functions	control
electrical signalling	distance	long
electrical signalling	distance	short
electrical signalling	mechanism	electrical impulse
electrical signalling	mechanism	synaptic transmission
electrical signalling	used for	control
electrical signalling	mechanism	frequency
electrical signalling	mechanism	voltage
electrical signalling	used for	regulation
electrical signalling	functions	controlling muscles
electrical signalling	neural structure	axon
electrical signalling	neural structure	synapse
electrical signalling	distance	local
electrical signalling	distance	long-distance
electrical signalling	neurological function	transmitting signals
electrical signalling	neurological function	regulating behavior
electrical signalling	neurological function	enabling communication
electrical signalling	neurotransmitters involved	acetylcholine
electrical signalling	mode	digital
electrical signalling	neurotransmitters involved	serotonin
electrical signalling	mechanism	ion channels
electrical signalling	mechanism	nerve impulse
electrical signalling	measured in	hertz
electrical signalling	functions	regulating body functions
electrical signalling	measured by	electromyogram
electrical signalling	measured by	electroencephalogram
electrical signalling	measured by	oscilloscope
electrical signalling	amplitude	millivolt
electrical signalling	amplitude	millivolt range
electrical signalling	measured by	voltmeter
electrical signalling	measured by	electrometer
electrical signalling	amplitude	large
electrical signalling	functions	transmitting information
electrical signalling	components	synapses
electrical signalling	components	axon
electrical signalling	amplitude	small
electrical signalling	generated by	electrical generators
electrical signalling	generated by	neurons
electrical signalling	components	neurons
electrical signalling	conduction	electrical
electrical signalling	conduction	chemical
electrical signalling	mode	analog
electrical signalling	neurotransmitters involved	dopamine
electrical signalling	used for	communication
electrical signalling	related concepts	synapses
electrical signalling	function	regulation
electrical signalling	function	communication between cells
electrical signalling	mechanism	electrical current
electrical signalling	medium	neurons
electrical signalling	function	transmitting information
electrical signalling	mechanism	electrical impulses
electrical signalling	medium	nerve cells
electrical signalling	medium	electrolyte solution
electrical signalling	function	communicating between cells
electrical signalling	measured in	millivolts
electrical signalling	function	control actions
electrical signalling	mechanism	electrochemical gradients
electrical signalling	function	coordinating actions
electrical signalling	function	regulating muscles
electrical signalling	function	communication
electrical signalling	medium	nerve
electrical signalling	medium	nerve fiber
electrical signalling	medium	copper wires
electrical signalling	function	decision making
electrical signalling	mechanism	action potentials
electrical signalling	medium	electrolytes
electrical signalling	medium	cable
electrical signalling	medium	wires
electrical signalling	components	dendrites
electrical signalling	related concepts	electroencephalography
electrical signalling	related concepts	neurotransmitters
electrical signalling	mechanism	signal transmission
electrical signalling	medium	nerve fibers
electrical signalling	medium	optical fibre
electrical signalling	mechanism	electrical conduction
electrical signalling	related to	neurotransmitters
electrical signalling	related to	nervous system
electrical signalling	medium	electrolyte
electrical signalling	medium	wire
electrical signalling	mechanism	membrane potential
electrical signalling	mechanism	neurotransmitter release
electrical signalling	related to	brain
electrical signalling	related to	synapses
electrical signalling	medium	cables
electrical signalling	mechanism	ion flow
electrical signalling	medium	air
electrical signalling	related to	electroencephalography
electrical signalling	medium	copper wire
electrical signalling	mechanism	electric current
electrical signalling	neural structure	dendrites
electrical signalling	mechanism	nerve conduction
electrical signalling	speed	dependent on fibre type
electrical signalling	properties	duration
electrical signalling	type	digital
electrical signalling	location	nerve cells
electrical signalling	properties	frequency
electrical signalling	regulation	neurotransmitter release
electrical signalling	used in	communication systems
electrical signalling	role	brain function
electrical signalling	type	electrical impulse
electrical signalling	used in	human body
electrical signalling	role	information transmission
electrical signalling	regulation	action potential threshold
electrical signalling	location	neurons
electrical signalling	role	control of muscles
electrical signalling	location	nerve fibers
electrical signalling	properties	direction
electrical signalling	role	muscle contraction
electrical signalling	purpose	enable communication
electrical signalling	properties	chemical
electrical signalling	role	control of bodily functions
electrical signalling	properties	rapid
electrical signalling	purpose	control movement
electrical signalling	location	muscle fibers
electrical signalling	regulation	synaptic plasticity
electrical signalling	physiological significance	regulation of heart rate
electrical signalling	location	synapses
electrical signalling	used in	medical equipment
electrical signalling	used in	nervous system
electrical signalling	used in	neural networks
electrical signalling	type	neural
electrical signalling	types	digital signal
electrical signalling	type	electronic
electrical signalling	types	digital
electrical signalling	physiological process	muscle contraction
electrical signalling	propagation	graded potential
electrical signalling	physiological process	electrical impulses
electrical signalling	role	communication
electrical signalling	physiological process	electroencephalography
electrical signalling	physiological process	electrical impulse
electrical signalling	physiological process	neurotransmitter release
electrical signalling	physiological process	synaptic transmission
electrical signalling	physiological process	nerve conduction
electrical signalling	physiological process	axon reflex
electrical signalling	physiological role	sensory perception
electrical signalling	physiological role	autonomic regulation
electrical signalling	physiological role	motor control
electrical signalling	physiological significance	control of movement
electrical signalling	properties	amplitude
electrical signalling	physiological process	neurotransmission
electrical signalling	used in	communications systems
electrical signalling	role	control
electrical signalling	type	nerve signal
electrical signalling	location	nerve
electrical signalling	principle	nerve transmission
electrical signalling	principle	signal transmission
electrical signalling	location	electrical circuit
electrical signalling	principle	electrical impulse
electrical signalling	role in body	enabling thought
electrical signalling	process	repolarization
electrical signalling	process	excitation
electrical signalling	process	depolarization
electrical signalling	process	termination
electrical signalling	process	integration
electrical signalling	process	inhibition
electrical signalling	process	initiation
electrical signalling	properties	strength
electrical signalling	propagation	through nerve cells
electrical signalling	process	propagation
electrical signalling	location	computer
electrical signalling	propagation	electrotonic conduction
electrical signalling	propagation	saltatory conduction
electrical signalling	propagation	through air
electrical signalling	propagation	through wires
electrical signalling	role in body	regulating heartbeat
electrical signalling	location	gastrointestinal system
electrical signalling	location	muscular system
electrical signalling	location	nerve cell
electrical signalling	properties	electrical
electrical signalling	properties	specific
electrical signalling	properties	speed
electrical signalling	type	graded potential
electrical signalling	type	nerve impulse
electrical signalling	role in	muscle contraction
electrical signalling	speed	fast
electrical signalling	purpose	operate electronic devices
electrical signalling	location	peripheral nerves
electrical signalling	location	muscle
electrical signalling	type	action potential
electrical signalling	location	brain
electrical signalling	location	heart cells
electrical signalling	role in	brain function
electrical signalling	location	spinal cord
electrical signalling	location	peripheral nervous system
electrical signalling	speed	variable
electrical signalling	location	muscles
electrical signalling	location	synapse
electrical signalling	location	nervous system
electrical signalling	role in body	controlling movement
electrical signalling	location	neural network
electrical signalling	role in	heart rate regulation
electrical signalling	purpose	information transmission
electrical signalling	physiological process	electromyography
electrical signalling	used in	electronic devices
electrical signalling	type	muscle signal
electrical signalling	speed	dependent on distance
electrical signalling	type	gastrointestinal
electrical signalling	strength	weak
electrical signalling	type	signal transmission
electrical signalling	purpose	regulate body functions
electrical signalling	types	graded potential
electrical signalling	types	neural signalling
electrical signalling	types	action potential
electrical signalling	purpose	communication
electrical signalling	type	motor
electrical signalling	type	digital signal
electrical signalling	type	sensory
electrical signalling	speed	nanosecond
electrical signalling	type	electrical signals
electrical signalling	type	electrical signals in neurons
electrical signalling	speed	milliseconds
electrical signalling	type	nerve signals
electrical signalling	type	electrochemical signal
electrical signalling	type	digital signals
electrical signalling	strength	voltage
electrical signalling	type	synaptic transmission
electrical signalling	speed	rapid
electrical signalling	speed	instantaneous
electrical signalling	type	cardiac
electrical signalling	type	nerve impulses
electrical signalling	type	electrical impulses
electrical signalling	types	local potential
electrical signalling	purpose	power transmission
electrical signalling	purpose	response
electrical signalling	type	electrical
electrical signalling	types	reflex
electrical signalling	strength	strong
electrical signalling	types	telegraphy
electrical signalling	types	electrochemical
electrical signalling	types	electrical
electrical signalling	speed	millisecond
electrical signalling	type	neurotransmitter
electrical signalling	speed	seconds
electrical signalling	purpose	enabling thought
electrical signalling	type	cognitive
electrical signalling	types	autonomic
electrical signalling	definition	electrical impulse
electrical signalling	definition	nerve conduction
electrical signalling	speed	relatively slow
electrical signalling	types	analog
electrical signalling	definition	electrical impulses
electrical signalling	purpose	information transfer
electrical signalling	definition	communication
electrical signalling	types	motor
electrical signalling	regulation	controlled by voltage
electrical signalling	regulation	regulated by frequency
electrical signalling	purpose	coordinate actions
electrical signalling	purpose	regulate bodily functions
electrical signalling	types	sensory
electrical signalling	biological systems	nervous system
electrical signalling	type	communication
electrical signalling	biological systems	muscular system
electrical signalling	type	muscular
electrical signalling	type	electrical signal
electrical signalling	types	electrical communication
electrical signalling	speed	slow
electrical signalling	definition	process of transmission of information
electrical signalling	origin	electronic device
electrical signalling	origin	nerve cells
electrical signalling	purpose	control
electrical signalling	purpose	enabling movement
electrical signalling	biological systems	endocrine system
electrical signalling	origin	brain
electrified railway	mode of transportation	public
electrified railway	features	automatic doors
electrified railway	features	quiet and smooth ride
electrified railway	mode of transportation	public transport
electrified railway	used in	long-distance travel
electrified railway	mode of transportation	rail
electrified railway	uses	commuter trains
electrified railway	mode of transportation	electricity powered
electrified railway	associated with	electric trains
electrified railway	associated with	electricity generation
electrified railway	features	environmentally friendly
electrified railway	mode of transportation	public transportation
electrified railway	features	electric trains
electrified railway	mode of transportation	electric train
electrified railway	uses	commuting
electrified railway	mode of transportation	mass transit
electrified railway	components	catenary system
electrified railway	uses	long distance travel
electrified railway	benefits	reduced emissions
electrified railway	mode of transportation	commuter
electrified railway	benefits	reduced noise
electrified railway	benefits	faster travel
electrified railway	benefits	faster speed
electrified railway	benefits	reduced noise pollution
electrified railway	benefits	reduced fuel costs
electrified railway	features	air conditioning
electrified railway	benefits	faster travel time
electrified railway	type	railway network
electrified railway	type	mass transportation
electrified railway	type	transportation
electrified railway	uses	electrified trains
electrified railway	type	electric railway
electrified railway	uses	trains
electrified railway	used in	high-speed rail networks
electrified railway	type	mode of transportation
electrified railway	benefits	less noise pollution
electrified railway	benefits	faster journey times
electrified railway	benefits	environmentally friendly
electrified railway	mode of transport	electricity powered
electrified railway	mode of transportation	electric
electrified railway	uses	freight transport
electrified railway	benefits	environmental benefits
electrified railway	mode of transportation	railway
electrified railway	benefits	reduced costs
electrified railway	benefits	increased efficiency
electrified railway	benefits	efficient
electrified railway	mode of transportation	train
electrified railway	benefits	convenient
electrified railway	benefits	more efficient
electrified railway	mode of transport	electric
electrified railway	mode of transport	commuter
electrified railway	mode of transport	public transport
electrified railway	mode of transport	railway
electrified railway	benefits	reduced operating costs
electrified railway	mode of transport	commuting
electrified railway	mode of transport	train
electrified railway	components	electric tracks
electrified railway	route	land
electrified railway	components	transformer
electrified railway	operation	electric tram
electrified railway	equipment	electrified trains
electrified railway	operation	dependent on power supply
electrified railway	operation	reliable
electrified railway	function	move goods
electrified railway	safety	electrical safety
electrified railway	function	connect cities
electrified railway	function	transport people
electrified railway	environmental impact	lower carbon emissions
electrified railway	function	transport goods
electrified railway	function	reduce traffic congestion
electrified railway	safety	passenger safety
electrified railway	safety	train safety
electrified railway	function	carries trains
electrified railway	characteristics	faster than steam railway
electrified railway	function	connects cities
electrified railway	characteristics	environmentally friendly
electrified railway	purpose	faster travel
electrified railway	purpose	public transportation
electrified railway	used for	long-distance travel
electrified railway	used for	long distance travel
electrified railway	purpose	transport goods
electrified railway	characteristics	convenient
electrified railway	operation	electric trains
electrified railway	characteristics	reliable
electrified railway	used for	passenger transport
electrified railway	environmental impact	lower carbon footprint
electrified railway	function	commuting
electrified railway	function	transportation
electrified railway	characteristics	more efficient
electrified railway	function	provides transportation
electrified railway	used for	freight transportation
electrified railway	equipment	electric locomotive
electrified railway	operation	electric power
electrified railway	operation	frequent service
electrified railway	transportation	infrastructure
electrified railway	operation	less pollution
electrified railway	transportation	electric
electrified railway	transportation	mode
electrified railway	transportation method	electric
electrified railway	transportation method	railway
electrified railway	operation	faster than steam trains
electrified railway	transportation method	public
electrified railway	transportation mode	railway
electrified railway	transportation mode	public
electrified railway	features	electric locomotives
electrified railway	safety features	electric signaling
electrified railway	safety features	automatic braking
electrified railway	safety features	electrical isolation
electrified railway	transportation mode	electric
electrified railway	purpose	reduced emissions
electrified railway	operation	more efficient
electrified railway	operation	powered by electricity
electrified railway	operation	timetabled
electrified railway	operation	requires electricity
electrified railway	equipment	electrified track
electrified railway	operation	electric locomotives
electrified railway	equipment	electric train
electrified railway	purpose	moving people
electrified railway	operation	electric motor
electrified railway	purpose	commuting
electrified railway	used for	urban transport
electrified railway	operation	quieter
electrified railway	purpose	long-distance travel
electrified railway	equipment	electrified tracks
electrified railway	purpose	tourism
electrified railway	purpose	transportation
electrified railway	operation	automatic control
electrified railway	components	overhead wires
electrified railway	purpose	transport people
electrified railway	environmental impact	reduced noise
electrified railway	transportation	commuting
electrified railway	transportation	railway
electrified railway	used for	tourism
electrified railway	functionality	powering trains
electrified railway	used for	freight transport
electrified railway	route	city
electrified railway	route	countryside
electrified railway	purpose	freight transport
electrified railway	route	rural
electrified railway	route	suburban
electrified railway	functionality	increasing speed
electrified railway	route	urban
electrified railway	route	long distance
electrified railway	route	intercity
electrified railway	components	electrified tracks
electrified railway	components	trains
electrified railway	components	locomotive
electrified railway	components	rails
electrified railway	energy source	electricity
electrified railway	energy source	overhead wires
electrified railway	energy source	substation
electrified railway	components	electric locomotive
electrified railway	components	stations
electrified railway	transportation	train
electrified railway	components	electricity
electrified railway	components	power substations
electrified railway	components	electric locomotives
electrified railway	used in	urban areas
electrified railway	noise reduction	less noisy
electrified railway	noise reduction	environmentally friendly
electrified railway	components	electricity supply
electrified railway	components	carriages
electrified railway	transportation	public
electrified railway	power source	overhead wires
electrified railway	power source	third rail
electrified railway	usage	passenger transport
electrified railway	usage	freight transport
electrified railway	type	railway
electrified railway	type	commuter rail
electrified railway	type	public transportation
electrified railway	type	mass transit
electrified railway	usage	mass transportation
electrified railway	type	electric
electrified railway	type	high-speed rail
electrified railway	used for	daily commute
electrified railway	features	signal systems
electrified railway	purpose	efficient travel
electrified railway	types	mainline rail
electrified railway	types	commuter rail
electrified railway	operation	regularly scheduled
electrified railway	purpose	increased capacity
electrified railway	operation	electric locomotive
electrified railway	operation	electric train
electrified railway	power source	electric train
electrified railway	power source	grid
electrified railway	used for	commuting
electrified railway	power source	electricity
electrified railway	types	monorail
electrified railway	types	commuter railway
electrified railway	purpose	moving goods
electrified railway	types	mainline railway
electrified railway	environmental impact	less noise pollution
electrified railway	environmental impact	reduced noise pollution
electrified railway	environmental impact	lower emissions
electrified railway	operation	electric traction
electrified railway	types	high-speed rail
electrified railway	usage	long-distance travel
electrified railway	environmental impact	reduced emissions
electrified railway	transportation	system
electrified railway	equipment	electric tram
electrified railway	functionality	reducing emissions
electrified railway	location	coastal routes
electrified railway	cost	higher construction cost
electrified railway	cost	lower operating costs
electrified railway	construction	tracks
electrified railway	disadvantages	dependence on power supply
electrified railway	construction	electrification system
electrified railway	cost	lower operating cost
electrified railway	source of power	electricity
electrified railway	construction	rails
electrified railway	construction	electrical infrastructure
electrified railway	disadvantages	dependent on power
electrified railway	disadvantages	limited range
electrified railway	source of power	electric current
electrified railway	advantages	reduced noise
electrified railway	history	introduced in 19th century
electrified railway	cost	higher initial investment
electrified railway	disadvantages	higher construction cost
electrified railway	disadvantages	complex maintenance
electrified railway	advantages	faster travel time
electrified railway	advantages	reduced pollution
electrified railway	location	rural areas
electrified railway	infrastructure	electrical power source
electrified railway	infrastructure	tracks
electrified railway	infrastructure	electric power supply
electrified railway	history	invented in 19th century
electrified railway	location	countries
electrified railway	location	high-speed rail network
electrified railway	infrastructure	electrical substations
electrified railway	disadvantages	higher maintenance
electrified railway	technology	catenary system
electrified railway	history	popular in europe and asia
electrified railway	disadvantages	higher cost
electrified railway	history	popular in europe
electrified railway	disadvantages	high cost
electrified railway	advantages	less noise pollution
electrified railway	infrastructure	power supply
electrified railway	construction	expensive
electrified railway	speed	up to 250 km/h
electrified railway	speed	faster than steam
electrified railway	speed	rapid
electrified railway	speed	high-speed
electrified railway	speed	faster than traditional railway
electrified railway	speed	up to 300 km/h
electrified railway	speed	up to 200 km/h
electrified railway	location	coastal areas
electrified railway	speed	higher than diesel
electrified railway	speed	around 200 km/h
electrified railway	infrastructure	electric poles
electrified railway	speed	rapid transit
electrified railway	speed	high speed
electrified railway	speed	faster than diesel
electrified railway	speed	similar to diesel
electrified railway	speed	faster than diesel trains
electrified railway	history	revolutionized rail travel
electrified railway	infrastructure	electricity supply
electrified railway	infrastructure	rails
electrified railway	construction	infrastructure
electrified railway	infrastructure	electric substations
electrified railway	advantages	cleaner
electrified railway	infrastructure	electric overhead wires
electrified railway	advantages	faster
electrified railway	advantages	faster travel
electrified railway	advantages	more efficient
electrified railway	advantages	reduced noise pollution
electrified railway	infrastructure	electrical substation
electrified railway	advantages	faster speed
electrified railway	infrastructure	electric lines
electrified railway	infrastructure	power lines
electrified railway	infrastructure	electrification system
electrified railway	advantages	faster than diesel trains
electrified railway	history	widespread use in 20th century
electrified railway	infrastructure	signals
electrified railway	advantages	increased efficiency
electrified railway	location	urban areas
electrified railway	advantages	quiet operation
electrified railway	location	highways
electrified railway	technology	electric locomotive
electrified railway	technology	overhead wires
electrified railway	location	suburb
electrified railway	history	developed in late 19th century
electrified railway	location	highway
electrified railway	location	countryside
electrified railway	location	around the world
electrified railway	location	suburbs
electrified railway	infrastructure	overhead wires
electrified railway	infrastructure	electrical supply
electrified railway	located at	cities
electrified railway	located at	highways
electrified railway	located at	ports
electrified railway	located at	countryside
electrified railway	infrastructure	electrical system
electrified railway	located at	mountain regions
electrified railway	infrastructure	stations
electrified railway	maintenance	electrical systems
electrified railway	maintenance	regular upkeep
electrified railway	maintenance	electrical system checks
electrified railway	maintenance	regular maintenance
electrified railway	located at	rural areas
electrified railway	maintenance	electricity supply
electrified railway	maintenance	electrical equipment needs replacement
electrified railway	located at	coastal areas
electrified railway	maintenance	regular maintenance required
electrified railway	infrastructure	substations
electrified railway	history	widespread adoption in 20th century
electrified railway	speed	fast
electrified railway	advantages	environmentally friendly
electrified railway	technology	electric current
electrified railway	technology	traction
electrified railway	technology	electrified track
electrified railway	technology	alternating current
electrified railway	technology	electric traction
electrified railway	construction	requires infrastructure
electrified railway	location	cities
electrified railway	history	developed in 19th century
electrified railway	location	city
electrified railway	advantages	lower emissions
electrified railway	advantages	reduced emissions
electrified railway	technology	electric
electrified railway	technology	modern signaling
electrified railway	technology	electricity
electrified railway	technology	electric multiple unit
electrified railway	disadvantages	technical complexity
electronic device	operating system	mobile
electronic device	functionality	entertains
electronic device	operating system	android
electronic device	functionality	controls
electronic device	operating system	platform
electronic device	operating system	linux
electronic device	portability	non-portable
electronic device	operating system	smart
electronic device	power source	electricity
electronic device	functionality	entertainment
electronic device	functionality	control
electronic device	operating system	software
electronic device	functionality	communication
electronic device	functionality	stores
electronic device	power source	plugged in
electronic device	portability	laptop
electronic device	used for	video calling
electronic device	operating system	desktop
electronic device	portability	immobile
electronic device	operating system	ios
electronic device	usage	education
electronic device	usage	occasionally
electronic device	usage	daily
electronic device	power source	non-rechargeable
electronic device	power source	wireless charging
electronic device	material	glass
electronic device	used for	working
electronic device	type	computer
electronic device	functionality	calculates
electronic device	functionality	computing
electronic device	type	smartphone
electronic device	type	television
electronic device	portability	smartphone
electronic device	functionality	computes
electronic device	used for	watching
electronic device	usage	personal use
electronic device	functionality	communicates
electronic device	usage	occasional
electronic device	usage	special occasion
electronic device	functionality	plays media
electronic device	used for	gaming
electronic device	used for	browsing
electronic device	power source	charger
electronic device	functionality	gaming
electronic device	usage	gaming
electronic device	usage	professional use
electronic device	functionality	video playback
electronic device	functionality	internet browsing
electronic device	portability	tablet
electronic device	portability	portable
electronic device	power source	plug
electronic device	output methods	headphones
electronic device	operating system	app
electronic device	features	display
electronic device	purpose	single-purpose
electronic device	usage	entertainment
electronic device	usage	industrial
electronic device	screen size	small
electronic device	screen size	large
electronic device	screen size	medium
electronic device	screen	color
electronic device	screen	display
electronic device	usage	rarely
electronic device	screen	black and white
electronic device	material	plastic
electronic device	screen	non-touchscreen
electronic device	screen	non-touch
electronic device	screen	touchscreen
electronic device	screen	lcd
electronic device	screen	led
electronic device	screen	monitor
electronic device	used for	communication
electronic device	used for	work
electronic device	used for	play
electronic device	size	handheld
electronic device	size	desktop
electronic device	size	large
electronic device	function	processing
electronic device	size	wrist-worn
electronic device	function	playing music
electronic device	function	making calls
electronic device	function	multitasking
electronic device	function	communicating
electronic device	function	controlling
electronic device	function	streaming media
electronic device	usage	utility
electronic device	usage	educational
electronic device	size	portable
electronic device	size	small
electronic device	size	large screen
electronic device	function	entertainment
electronic device	size	fixed
electronic device	purpose	gaming
