person	flexible, intelligent, social, emotional
costume	flexible, wearable, cultural significance, historical, wearable, decorative, design
cottage	flexible, cooperative, small, historic, traditional, beautiful
cotton	flexible, breathable, durable, natural
council	flexible, community, government, public, decision-making, administrative, political
counsel	personal, professional, advisory, emotional, supportive
counseling	personal, emotional, mental, social, professional
counselor	flexible, empathetic, social, supportive
count	flexible, measurable, countable, repeatable, limited, unique
counterpart	equivalent, similar, different, other, related, unique
counting	flexible, quantifiable, sequential, numerical, simple, repetitive, timely
country club	location, recreational, membership, private, social
country dance	fun, social, cultural
country house	private, historical, large, outdoor, historic
country music	musical, genre, traditional, social, cultural
country park	outdoor, open, recreational, nature
country rock	musical, genre, cultural, folk, outdoor, popular
county seat	flexible, government, administrative, location
county town	location, government, community, administrative, size
coup	flexible, sudden, political, violent
couple	flexible, social, emotional, supportive, monetary, romantic
course	educational, online, training, training
court	flexible, open, public, legal, spacious
courtesy	respect, kindness, consideration, polite, consideration
courthouse	flexible, historic, government, public, building
court order	legal, binding, enforceable, government, judicial, administrative, formal
courtyard	flexible, open, outdoor, enclosed, landscaped, green
cousin	related,family,gender,relationships,cultural,gender,age
coverage	comprehensive, insurance, wide, affordable, protection
covered bridge	flexible, open, wooden, historical, water
covering	large, small, flexible, hidden, protective
cow	fast, large, mammal, herd, social
cowboy	flexible, intelligent, social, calm, strong
cow milk	nutritious, dairy, white, brown, drinkable, creamy
crack	flexible, open, fragile, sharp, small
crackdown	flexible, coordinated, organized, public, government, enforcement, security
craft	flexible, creative, handmade, wood, textiles, handmade, traditional
crane	flexible, mobile, lifts, movable, tall
crash	flexible, sudden, unexpected, sudden, dangerous
crater	large, open, natural, deep, steep, rocky, circular
crater lake	round, freshwater, natural, deep, land
cream	flexible, dairy, nutritious, white, sweet
cream cheese	flexible, tangy, dairy, white, spreadable, soft
creation	educational, imaginative, spiritual, creative
creativity	flexible, open-ended, original, imaginative, problem-solving, innovative
creator	unique, intelligent, social, responsible, imaginative, responsible
creature	flexible, intelligent, has a tail, can be trained, can be used for transportation, can be small, can be used for work, can be used for entertainment, can be trained, can be small, can be used for work, can be found in various locations, can be used for transportation, has four legs, can be used for work, can be small
credentials	flexible, digital, verifiable, secure, standardized, international, recognized
credit	flexible, variable, open, public, transferable, limited, financial, digital
credit card	flexible, digital, secure, reusable, credit, payment, financial
credit union	flexible, community, financial, member-based, local, member-owned, non-profit, secure
creek	flexible, movable, small, water
crescent	flexible, curved, circular, symmetrical, sharp, crescent, wedge-shaped, curved, pointed
crew	flexible, diverse, dynamic, group, teamwork
crew chief	flexible, responsible, teamwork, management
cricket	fast, competitive, outdoor, sport
cricketer	flexible, agile, fast, strong
cricket ground	open, outdoor, large, grass
crime	legal, illegal, harmful, dangerous, public
criminal	flexible, dangerous, illegal, intelligent
criminal lawyer	flexible, intelligent, experienced, persuasive, professional
crisis	flexible, temporary, sudden, global, urgent, unexpected
critic	objective, opinion, negative, creative, analytical, informative
criticism	personal, constructive, objective, formal, informative, constructive
crop	flexible, annual, plant, renewable, agriculture, seasonal
cross	flexible, two, geometric, symbolic, cultural significance, nature
cross country	flexible, long, outdoor, transportation, travel
crossing	flexible, multiple, directional, public, time-sensitive, transportation
crown	flexible, jewelry, round, symbolic, unique
crown corporation	flexible, public, government, investment, international
crown prince	flexible, heritage, royal, wealthy, young
crude oil	flexible, liquid, natural, renewable
cruise missile	fast,mobile,self-propelled,guidance,long-range,small,lightweight,stealthy,high-speed,reusable,operates,durable,multi-purpose,targeted,weapon,advanced,large
cruiser	lightweight, fast, large, small
cruise ship	entertainment, luxury, recreation, transportation
crusade	flexible, religious, military, political, social
crush	flexible, temporary, emotional, strong
cry	flexible, emotional, expressive, natural
crystal	flexible, transparent, fragile, colorful, natural
cuisine	diverse, cultural, traditional, traditional, global
cult	educational, social, cultural, community
cultivation	flexible, agriculture, organic, farming, sustainable, education, maintenance
culture	flexible, diverse, dynamic, complex, complex, open
cup	flexible, portable, transparent, can be used for various purposes, can be found in various sizes, can be used for various purposes, can be used for storage, can be made of various materials, can be used for drinking, can be used for decoration, can be used for entertainment, can be used for transportation, can be used for storage, can be made of different materials, can be customized, has a flat surface, can be used for cooking, can be used for personal protection, can be used for recreational purposes, can be used for decoration, can be made of various materials, can be used for transportation, can be used for self-defense, can be used for carrying, can be used for medical purposes, can be used for storage, can be used for decoration, can be used for both personal use, can be used for entertainment, can be used for professional purposes, can be made of different materials, can be used for various purposes, can be used for transportation, can be used for storage, can be used for communication, can be used for self-defense, can be used for recreational purposes, can be used for therapy, can be used for decoration, can be used for entertainment, can be used for personal use, can be used for protection, can be used for social events, can be used for work, can be used for various purposes, can be used for decoration, can be used for transportation, can be used for storage, can be used for communication, can be used for self-defense, can be used for small, can be used for both personal use, can be used for recreational purposes, can be used for entertainment, can be used for transportation, can be used for storage, can be used for decoration, can be used for various purposes, can be used for personal use, can be used for protection, has a flat surface, can be used for carry, can be used for therapy, can be used for decoration, can be used for entertainment, can be used for personal use, can be used for transportation, can be used for storage, can be used for communication, can be used for self-defense, can be used for small, can be used for both personal use, can be used for recreational purposes, can be used for decoration, can be used for various purposes, can be used for transportation, can be used for storage, can be used for personal use, has a wide range of applications, can be used for entertainment, can be used for transportation, can be used for storage, can be used for various purposes, can be used for personal use, can be used for self-defense, can be used for small, can be used for both personal use, can be used for decoration, can be used for communication, can be used for protection, can be used for social events, can be used for work, can be used for different purposes, can be used for transportation, can be used for various purposes, can be used for personal use, can be used for storage, can be used for entertainment, can be used for recreational purposes, can be used for therapy, can be used for small, can be used for both personal use, can be used for decoration, can be used for protection, has a wide range of applications, can be used for education, can be used for personal development, can be used for self-care, can be used for therapy, can be used for decoration, can be used for entertainment, can be used for personal use, can be used for transportation, can be used for storage, can be used for various purposes, can be used for work, can be used for recreational purposes, can be used for self-defense, can be used for small, can be used for both personal use, can be used for decoration, can be used for communication, can be used for protection, can be used for social events, can be used for storage, can be used for various purposes, can be used for personal use, has a flat surface, can be used for carry, can be used for therapy, can be used for entertainment, can be used for personal use, can be used for transportation, can be used for storage, can be used for decoration, can be used for education, can be used for self-care, can be used for self-defense, can be used for small, can be used for both personal use, can be used for recreational purposes, can be used for communication, can be used for protection, can be used for various purposes, can be used for work, can be used for personal use, can be used for transportation, can be
curator	flexible, knowledgeable, responsible, organized
cure	flexible, treatable, medical, preventative, temporary, inexpensive, permanent
currency code	flexible, digital, standardized, universal, decimal, international
currency sign	flexible, symbolic, standardized, digital, physical
current	flexible, flow, electricity, science, time, water
curriculum	flexible, comprehensive, standardized, educational, structured, interactive
curry	flexible, vegetarian, spicy, vegetarian, cooking, flavorful, herbs, savory
curse	flexible, negative, magical, powerful, religious
curve	flexible, smooth, irregular, continuous, geometric, three-dimensional, mathematical
custom	flexible, unique, handmade, personalized, creative
customer	flexible, loyal, service, communication
custom house	size, location, type, historical, architecture
cut	flexible, sharp, smooth, sharp, size
cutting	flexible, sharp, versatile
cycle	flexible, round, wheel, transportation, recreational, circular
cycle path	public,outdoor,paved,recreational,walking,road,urban
cyclone	flexible, rotates, large, weather, natural
cylinder	flexible, round, curved, three-dimensional, geometric, symmetrical
dairy	flexible, nutritious, milk, farm, fresh
dairy product	flexible, nutritious, creative, healthy
dale	flexible, open, natural, outdoor, small, water
dam	flexible, water, structure, large, natural
damage	flexible, temporary, destructive, negative, intangible, size
damages	legal, financial, damage, compensation, consequences, consequences, liability, consequences
dance	creative,healthy,physical,social
dance hall	flexible, cultural, social, large
dance music	emotional, energetic, rhythmic, social, calming, loud
dancer	flexible, graceful, expressive, agile, coordinated, graceful
dance school	flexible, social, education, creative
dancing	flexible, cultural, social, graceful, musical
danger	flexible, unpredictable, harmful, risky, sudden, sharp
daniel	flexible, intelligent, male, musical
darkness	light, color, nature, space
dark ride	flexible, indoor, interactive, outdoor, thrilling, spacious
data	flexible, structured, digital, organized, large, collective, data, numerical, private
database	scalable, organized, secure, flexible
database engine	scalability, reliability, security, data storage, querying, distributed computing, data analysis, management
data structure	flexible, scalable, organized, structured, type, hierarchical, modular, standardized, maintainable, digital
data type	flexible, digital, standardized, generic, static, dynamic
date	flexible, social, time, cultural, personal
daughter	flexible, intelligent, emotional, family
dawn	flexible, natural, daytime, light, time
day	flexible, time, light, social, natural
day school	flexible, educational, after-hours, age, full-time, part-time, outdoor, evening, age
dealer	flexible, local, negotiable, online, small
dean	professional, educational, administrative, leadership
death	flexible, inevitable, natural, permanent, permanent, universal
death metal	flexible, agile, heavy, powerful, dark
death squad	flexible, organized, secretive, violent, dangerous
debate	collaborative, public, competitive, formal, structured, argumentative, emotional, persuasive
debris	flexible, natural, man-made, small, large
debt	flexible, legal, financial, contractual, management, negotiable, public
debut	public, first, new, performance, event, experience, music
decade	flexible, long, time-sensitive, measurable, specific
decision	flexible, complex, group, complex, time-sensitive, personal
decision making	flexible, analytical, logical, problem-solving
deck	flexible, outdoor, wooden, small
declaration	flexible, official, legal, public, formal
decline	flexible, negative, stealthy, gradual, social, time-sensitive, changeable, simple
decrease	small, negative, decrease, mathematical, proportion, size
decree	legal, official, binding, government, formal
dedication	flexible, loyal, consistent, hard work, commitment, passion
deep state	political, government, intelligence, secretive, organized
deer	fast, herd, large, social
defeat	objective, negative, loss, strategy, outcome, winning, consequence, consequence, result
defence	effective, protective, offensive, military, security
defendant	flexible, legal, formal, criminal, financial, communication
defender	protective, intelligent, agile, brave
defense	flexible, protective, offensive, aggressive, intelligence, technology
defenseman	flexible, agile, fast, strong
defensive	flexible, protective, agile, strong
defensive back	flexible, agile, fast, tall, large
defensive midfielder	flexible, agile, fast, teamwork
deficit	flexible, negative, temporary, financial, temporary
definition	flexible, formal, abstract, concrete, specific, broad
delay	flexible, temporary, time-based, periodic, predictable, slow, inevitable, consistent, short-term, long-term, instantaneous, instantaneous, waiting, moment, time
delegate	flexible, teamwork, decision-making, communication, leadership
delegation	flexible, decision-making, time-sensitive, teamwork, communication
delight	flexible, joyful, pleasant, emotional
delivery	flexible, fast, reliable, convenient
delta	flexible, geographic, water, narrow, wide, flow, flat, large
demand	flexible, predictable, consistent, seasonal, quantifiable, dependent, supply, variable
democracy	flexible, transparent, diverse, fair, participation, government
democrat	flexible, open-minded, transparent, fair, diverse, equality
demonstration	flexible, interactive, educational, outdoors, public
density	scalable, measurable, lightweight, weight, scientific, versatile
department store	flexible, local, large, shopping
departure	flexible, temporary, sudden, public, permanent, transportation
dependence	flexible, predictable, interconnected, mutual, emotional, mental
deployment	flexible, scalable, automated, distributed, real-time, secure, remote
deportation	legal, government, immigration, administrative, political
deposit	payment, money, financial, security
depot	flexible, storage, transportation, outdoor, government
depression	mental, medical, emotional, psychological, treatable
deputy	flexible, legal, political, responsible, supportive
derby	fast, competitive, sport, horse, agility, tradition
descent	flexible, natural, gradual, continuous, linear, stealthy, peaceful, swift, timely, smooth
description	flexible, concrete, complex, abstract, length, size, format, type
desert	flexible, hot, dry, sandy, vast
design	flexible, creative, aesthetic, innovative, colorful, functional
designation	flexible, unique, formal, official, specific
designer	flexible, creative, organized, innovative
designer label	flexible, luxury, fashion, quality
design pattern	flexible, scalable, modular, maintainable, reusable, standardized, collaborative
desire	flexible, emotional, psychological, societal, instinctual, universal
desktop	flexible, portable, user-friendly, compact, customizable, multi-functional, versatile
desktop computer	flexible, lightweight, powerful, portable, wireless
desktop environment	flexible, customizable, user-friendly, multi-functional, interactive, portable
destination	flexible, location, transportation, travel, holiday, geographic location, travel, transportation
destroyer	fast, powerful, large, stealthy, versatile
destruction	flexible, temporary, harmful, natural, sudden, violent
detail	flexible, small, complex, specific, small, large
detection	flexible, automated, real-time, accuracy, security
detective	flexible, intelligent, resourceful, investigative, responsible
detention	flexible, temporary, community, time-sensitive, public, space
deterioration	flexible, decay, gradual, natural, physical
determination	flexible, resilient, persistent, motivated, positive, consistent
developer	flexible, problem-solving, communication, collaborative, software, computer
development	rapid, social, financial, sustainable, economic, urban
device	flexible, electronic, portable, small
device driver	flexible, software, hardware, operating system, computer, system, automation, security
devil	fast, evil, mythical, scary, powerful
diabetes	educational, medical, chronic, mental, nutrition, physical
diagnosis	flexible, medical, medical, mental, patient, diagnosis, medical
dialect	diverse, language, communication, cultural, different, distinctive, geographical location, historical
dialogue	collaborative, interactive, open-ended, communication, emotional, teamwork, conflict resolution, creative
diameter	size, measurement, length, circular, distance, width
diamond	flexible, colorful, hard, transparent, valuable
diary	flexible, private, written, digital, personalized, emotional, keepsake, memories, journal, physical
dictator	flexible, powerful, makes decisions, leader, has, authoritative, government, historical
dictatorship	flexible, authoritative, centralized, autocratic, hierarchical, political
dictionary	flexible, online, educational, reference, open-ended, versatile
dictionary form	flexible, online, organized, open-source, type, versatile
diesel engine	flexible, powerful, efficient, small, reliable
diet	flexible, nutritious, personalized, balanced, healthy
difference	flexible, distinct, unique, distinct, multiple, quantifiable, relative
difficulty	flexible, challenging, complex, manageable, quantifiable, consistent, measurable
digit	flexible, portable, numerical, can be used for various purposes, can be used for decoration, can be used for artistic expression, can be used for communication, can be used for entertainment, can be used for work, can be used for personal purposes, can be used for decoration, can be found in various locations, can be used for storage, has a unique appearance, can be used for transportation, can be used for self-expression, can be used for therapy, can be made from various materials, can be used for self-defense, can be used for creative purposes, can be used for entertainment, can be used for communication, can be used for protection, can be used for personal protection, can be used for work, can be used for decoration, can be used for therapy, can be used for various purposes, can be used for recreation, can be used for self-care, can be used for education, can be used for business, can be used for self-defense, can be used for communication, can be used for transportation, can be used for entertainment, can be used for personal protection, can be used for small size, can be used for work, can be used for therapy, can be used for recreation, has a wide range of applications, can be used for various purposes, can be used for self-defense, can be used for transportation, can be used for personal protection, can be used for entertainment, can be used for education, can be used for business, can be used for communication, can be used for decoration, can be used for therapy, can be used for various purposes, can be used for self-care, can be used for work, can be used for social events, can be used for personal protection, has a flat surface, can be used for decoration, can be used for entertainment, can be used for self-defense, can be used for transportation, can be used for personal protection, can be used for small size, can be used for work, can be used for therapy, can be used for various purposes, can be used for communication, can be used for recreation, can be used for education, can be used for business, can be used for self-defense, can be used for transportation, can be used for personal protection, can be used for social events, can be used for various purposes, can be used for work, has a wide range of applications, can be used for different purposes, can be used for self-defense, can be used for entertainment, can be used for personal protection, can be used for storage, can be used for various purposes, can be used for work, can be used for communication, can be used for transportation, can be used for therapy, can be used for education, can be used for business, can be used for self-defense, can be used for social events, can be used for personal protection, can be used for small size, can be used for work, has a unique appearance, can be used for decoration, can be used for recreation, can be used for entertainment, can be used for personal protection, can be used for transportation, can be used for various purposes, can be used for work, can be used for self-defense, can be used for storage, can be used for different purposes, can be used for self-care, can be used for education, can be used for business, can be used for communication, can be used for therapy, can be used for entertainment, can be used for personal protection, can be used for various purposes, can be used for work, has a wide range of applications, can be used for self-defense, can be used for transportation, can be used for social events, can be used for personal protection, can be used for small size, can be used for work, can be used for storage, can be used for various purposes, can be used for work, can be used for communication, can be used for entertainment, can be used for personal protection, can be used for transportation, can be used for therapy, can be used for education, can be used for business, can be used for self-defense, can be used for decoration, can be used for recreation, can be used for entertainment, can be used for personal protection, can be used for small size, can be used for work, has a unique appearance, can be used for various purposes, can be used for work, can be used for self-defense, can be used for storage, can be used for transportation, can be used for personal protection, can be used for social events, can be used for
digital camera	light, portable, camera, wireless, compact, resolution
digital library	flexible, online, accessible, open, free, user-friendly, organized
dignity	respect, self-esteem, respect, value, ethics, honor, humility, morality, trustworthiness, compassion, justice, dignity, integrity
dimension	size, length, width, measurement, 3D, length, depth, height, space
dining	flexible, social, communal, outdoor, indoor, cultural, comfortable
dinner	flexible, social, nutritious, formal, cultural, seasonal
diocese	flexible, administrative, geographic, religious, political
dip	flexible, edible, savory, herbs, baking, sweet, fruit
diploma	educational, official, formal, recognized, degree, unique
diplomacy	public, international, negotiation, peaceful, communication
diplomat	flexible, respectful, experienced, professional
direction	flexible, one, two, up, horizontal, location
directive	flexible, objective, specific, actionable, informative, structured, consistent
dirt	flexible, natural, wet, solid
disability	flexible, medical, mental, physical, social
disappearance	fast, invisible, temporary, natural, sudden, unknown
disappointment	emotional, negative, temporary, personal
disarmament	flexible, peaceful, international, verbal, political, security
disaster	flexible, unpredictable, natural, global, catastrophic, sudden
disc	flexible, circular, round, smooth, flat, rotates, reflective, lightweight
discharge	flexible, continuous, continuous, variable, consistent, predictable, quantifiable, manageable, temporary
discipline	flexible, consistent, responsible, respectful, consistent
disclosure	legal, public, voluntary, confidentiality, transparency
discount	flexible, limited, temporary, negotiable, affordable, exclusive, time-sensitive, available, online
discount store	flexible, affordable, local, variety
discovery	personal, new, research, knowledge, social
discrimination	legal, protected, social, unfair, prejudice, ethical, equality
discussion	flexible, open-ended, interactive, collaborative, verbal communication, group
dish	flexible, edible, round, small, cooking, serves multiple purposes, cooking, size
disk	flexible, circular, round, rotates, storage, round, flat
disorder	flexible, chaotic, unpredictable, organized, systematic, random
display	flexible, interactive, digital, visual, dynamic
disposal	flexible, convenient, safe, affordable, efficient
dispute	flexible, complex, emotional, complex, controversial
disruption	flexible, unexpected, temporary, social, sudden, global
dissident	flexible, outgoing, political, underground, opposition, rebellious, social
distance	flexible, measurement, long, short, unit of measurement, standard, unit of measurement, space
distance learning	educational, online, flexible, remote
distinction	flexible, unique, exclusive, cultural, different, distinct, individual
distress	flexible, emotional, unpredictable, stressful, mental
distribution	flexible, continuous, global, local, scalable, multiple, universal
distributor	supply, market, sales, management, productivity
district	flexible, geographical, government, location
divide	simple, multiple, equal, whole, small, large
divine	flexible, eternal, creative, mysterious, spiritual
diving	flexible, underground, recreational, social, water
diving suit	lightweight,flexibility,water,adventure,research,underwater,water
division	scalable, mathematical, simple, real-time, automated, multiple, divisible, flexible
dock	flexible, movable, solid, water
doctorate	flexible, educational, formal, international, online, professional
doctrine	flexible, official, organized, legal, historical
document	flexible, editable, digital, official, written, has a shape, informative, paper
documentary	flexible, educational, informative, historical, nature, short, video
documentation	flexible, organized, digital, formal, comprehensive, written, accessible
dog	fast, intelligent, loyal
doll	flexible, small, handheld, collectible, toy, size
domain	flexible, scalable, unique, self-managed, private, international, government, ownership, secure
domain name	flexible, unique, scalable, public, limited, international
dome	flexible, round, large, architectural, shelter
domination	flexible, control, power, influence, political, social
donna	flexible, intelligent, friendly, creative, emotional
donor	flexible, anonymous, medical, volunteer, community
dose	flexible, measurement, medical, small
dot	flexible, round, small, two-dimensional, circular
double act	fun,entertainment,comedy,theater,cooperation,teamwork
double agent	diverse, loyal, secretive, intelligent
double star	size, light, brightness, color
doubt	flexible, negative, uncertain, uncertain
downtown	flexible, location, residential, public, urban
downturn	flexible, negative, seasonal, temporary, universal
dozen	flexible, countable, large, small, unit of measurement, multiple
draft	flexible, temporary, editable, open, public
dragon	size, mythical, fire, breath, mythical, wings
drag queen	flexible, theatrical, cultural, artistic, LGBTQ+, entertainment
drag racing	fast, illegal, sport, racing, teamwork
drain	flexible, underground, water, fluid, natural
drainage	flexible, natural, water, underground, maintenance, water
drama	flexible, emotional, storytelling, performance
draw	creative, artistic, expressive, simple
drawing	flexible, 2-dimensional, artistic, colorful, creative
dream	flexible, imaginative, emotional, vibrant, creative
dress	flexible, wearable, clothing, comfortable, modest, formal, social
dress code	flexible, cultural, gender, attire, formal, standard, social
drill	versatile, sharp, tool, rotating, circular, drilling, cutting, hole, machine, size
drink	lightweight, liquid, refreshing, nutritious, calming, flavorful
drinking	flexible, social, healthy, refreshing
drinking game	educational, social, fun
drive	fast, automated, traffic, transportation
driver	flexible, responsible, knowledgeable, responsible, transportation
drop	flexible, small, round, temporary, sudden, weight
drug dealer	legal, illegal, crime, medical, addiction
drug lord	flexible, influential, wealthy, organized, powerful
drum	flexible, musical, percussion, round, size
drummer	flexible, musical, loud, percussion, rhythmic
dry lake	water, flat, land, large, small
duck	fast, social, small, large, water
duke	flexible, intelligent, powerful, wealthy, noble
dump	flexible, temporary, open, public, underground, large
duo	flexible, small, two, musical, social
duration	flexible, measurable, long-term, limited, temporary, time-based, repeatable, standardized, scalable
dust	flexible, lightweight, small, fine, soft
duty	flexible, legal, responsible, obligation, ethical, time-sensitive, teamwork, loyalty
dynamics	flexible, complex, mathematical, science, mathematical, complex
dynasty	flexible, long-term, cultural, powerful, historical
eagle	fast, car, large, social
earth	flexible, round, natural, solid, spherical, large
earthquake	natural, destructive, powerful, underground, natural
earth science	educational, scientific, nature, geography, environmental
ease	flexible, simple, effortless, convenient, comfortable, natural
east	flexible, location, direction, cultural, time, length
easy listening	musical, soothing, relaxing, lightweight, instrumental, calm
eating	personal, social, healthy, fun
eating disorder	flexible, treatable, psychological, medical, mental
ecology	scientific, biological, environmental, interdisciplinary, social
economic capital	grows, limited, investment, financial, trade
economics	comprehensive, interdisciplinary, complex, ever-changing, global, diverse, quantitative, social
economist	analytical, data-driven, decision-making, research, problem-solving, communication
economy	flexible, global, interconnected, diverse, dynamic
economy car	flexible, compact, affordable, fuel-efficient, lightweight
edge	fast, sharp, smooth, flat, round
editing	flexible, collaborative, creative, digital, timely
edition	flexible, limited, edit, multiple, digital, exclusive, limited
editor	flexible, creative, collaborative, organized
editorial	flexible, creative, timely, organized
effect	flexible, cause, cause, has, cause, change, cause, consequence, size
effectiveness	efficient, reliable, measurable, cost-effective, versatile
effort	flexible, persistent, consistent, consistent
egg	flexible, edible, round, nutritious, versatile
elder	flexible, intelligent, social, wise
electoral district	flexible, political, geographical, defined, representational, defined, limited, area, size
electorate	diverse, population, voting, representative, government, age
electrical circuit	flexible, conductive, conducts electricity, circular, electronic, small, closed
electrical contact	point, connection, conductive, physical
electrical engineering	flexible, mathematical, interdisciplinary, technical, design
electric car	flexible, environmentally friendly, automated, quiet, fast, size
electric charge	flexible, positive, negative, conductive, magnetic, size
electric circuit	educational, energy, flow, conductive, power, small
electric guitar	flexible, lightweight, musical, portable, versatile
electric guitarist	flexible, musical, versatile, singer, instrumental, rock
electricity	flexible, renewable, energy, power, transferable, versatile
electronic game	fast, interactive, online, social, time-sensitive, competitive
electronics	flexible, portable, digital, small, wireless
element	flexible, solid, has a name, can be used for various purposes, can be found in nature, can be used for decoration, can be used for various purposes, can be small, can be used for entertainment, can be used for transportation, can be made of various materials, can be found in different locations, can be used for work, can be used for decoration, can be small, can be used for various purposes, can be made of different materials, can be used for recreation, can be customized, can be used for self-defense, can be used for transportation, can be used for work, can be stored, can be used for therapy, can be found in different sizes, can be used for decoration, can be made of different materials, can be used for protection, can be used for entertainment, can be used for personal protection, can be found in different shapes, can be used for various purposes, can be used for self-defense, can be customized, can be used for transportation, can be used for work, can be found in different colors, can be used for decoration, can be used for therapy, can be small, can be used for recreation, has a flat surface, can be used for various purposes, can be used for work, can be found in different sizes, can be used for entertainment, can be used for self-defense, can be made of different materials, can be used for transportation, can be used for personal protection, can be found in different shapes, can be used for decoration, can be used for therapy, can be used for various purposes, can be found in different locations, can be used for work, can be used for recreation, has a distinctive sound, can be used for decoration, can be used for therapy, can be used for self-defense, can be made of different materials, can be used for transportation, can be used for personal protection, can be found in different sizes, can be used for work, can be used for entertainment, can be used for various purposes, can be made of different materials, can be used for self-defense, can be used for decoration, can be found in different locations, can be used for work, can be used for recreation, can be used for therapy, can be used for transportation, can be used for personal protection, can be found in different shapes, can be used for various purposes, has a small size, can be used for work, can be used for entertainment, can be used for self-defense, can be used for decoration, can be used for therapy, can be used for transportation, can be found in different colors, can be used for various purposes, can be used for personal protection, can be made of different materials, can be used for work, can be used for recreation, can be used for self-defense, can be found in different shapes, can be used for decoration, has a distinctive sound, can be used for different purposes, can be used for work, can be used for entertainment, can be used for therapy, can be used for transportation, can be used for personal protection, can be found in different sizes, can be used for work, can be used for decoration, can be used for self-defense, can be made of different materials, can be used for various purposes, can be used for work, can be used for recreation, can be used for therapy, can be used for transportation, can be used for personal protection, can be found in different locations, can be used for different purposes, has a small size, can be used for work, can be used for entertainment, can be used for self-defense, can be used for decoration, can be used for therapy, can be used for various purposes, can be used for work, can be used for recreation, can be used for self-defense, can be used for transportation, can be used for personal protection, can be found in different shapes, can be used for different purposes, has a distinctive sound, can be used for work, can be used for entertainment, can be used for therapy, can be used for various purposes, can be used for work, can be used for recreation, can be used for self-defense, can be used for decoration, can be used for transportation, can be used for personal protection, can be found in different sizes, can be used for different purposes, can be used for work, can be used for entertainment, can be used for therapy, can be used for various purposes, has a small size, can be used for work, can
elementary school	educational, age, age, size, students, public
elephant	large, intelligent, social, herbivorous, gray, mammal, protective
elevation	flexible, natural, steep, vertical, flat, terrain, slope, slope
elevator	flexible, automated, public, vertical, lift, heavy
eleven	flexible, round, whole, prime, odd, small
elite	flexible, exclusive, competitive, luxurious, high-quality, limited, social
email	flexible, fast, reliable, digital, communication
embargo	legal, economic, political, trade
emergence	scalability, complexity, decentralization, self-awareness, self-reliance, adaptability, collective action, interdisciplinary, complexity, innovation
emergency	urgent, unexpected, dangerous, sudden
emergency service	flexible, 24/7, public, community, medical
emission	flexible, lightweight, natural, limited, gas, gaseous, renewable
emotion	flexible, complex, complex, complex, subjective, psychological
emperor	flexible, intelligent, powerful, wise
emphasis	flexible, distinct, attention, communication, attention, focus
empire	large, political, territory, geography, history, size
employee	flexible, teamwork, communication, management, work
employee benefit	flexible, health, medical, financial, job, taxes, work
employer	flexible, benefits, job, management, training
employment	flexible, full-time, part-time, job, job, temporary, permanent
empress	flexible, intelligent, leader, wealthy, powerful
enclave	flexible, private, small, secure
encounter	flexible, unexpected, public, social
encouragement	personal, supportive, positive, supportive
end	flexible, limited, permanent, temporary, abstract, time-based, location
ending	flexible, temporary, limited, permanent, final, timely, ongoing, unique
enemy	flexible, intelligent, hostile, aggressive, powerful
energy	renewable, intangible, source, measurement, power, unit of measurement, scientific, natural
energy drink	non-negotiable, sugary, refreshing, caffeine, flavorful, calming, stimulating, sweet
energy source	renewable, source, power, natural
enforcement	flexible, consistent, proactive, legal, coordinated, regulated, official, government, authority
engagement	personal, social, commitment, public, emotional
engine	flexible, movable, automated, powerful, efficient
engineering	scalability, problem-solving, creativity, design, innovation
english	educational, written, cultural, language
enlargement	flexible, scalable, proportional, adjustable, size
enrichment	educational, recreational, social, cultural
ensemble	flexible, diverse, cohesive, creative, open-ended, musical
enterprise	flexible, scalable, secure, collaborative, data-driven, global, innovative, automated, diversity, teamwork
entertainment	educational, cultural, social, outdoor, interactive
entertainment center	flexible, functional, multi-purpose, modern, spacious
enthusiasm	positive, passionate, energetic, motivating, emotional, creative
entrance	flexible, public, protected, large, accessible
entrance examination	flexible, standard, competitive, written, multiple-choice, timely, formal
entrepreneur	flexible, leadership, risk-taking, innovative, creative
entry	flexible, public, open, accessible, free
environment	flexible, interconnected, living, natural
environmental scientist	educational, research, scientist, outdoors, data analysis, problem-solving
envoy	flexible, diplomatic, ambassador, representative, representative
enzyme	efficient, organic, meticulous, complex, biological, catalytic, functional
epic	large, long, exciting, historical, heroic, mythical, storytelling, grand
episode	flexible, limited, sequence, narrative, short, story, timely, sequential, repeatable, brief
equation	flexible, mathematical, simple, complex, relational, formula, expression, scalable, formula, symbolic
equipment	flexible, portable, mechanical, automated, lightweight
equity	fair, impartial, equal, ethical, investment, financial, social
equivalent	flexible, comparable, proportional, comparable, interchangeable, equal, equal, standard, consistent
era	flexible, long-term, historical, global, time
erosion	flexible, natural, land, continuous, slow, natural
