person	 male or female 
federation	 association 
fee	 charges 
feed	 part of a chicken's life 
feedback	 reaction 
feeding	 giving 
feeling	 located in theaters 
fell	 located in trees 
fellow	 associated with african safari 
fellowship	 awards 
female	 genders 
feminist	 types of literature 
ferry	 modes of transportation 
fertilizer	 part of a gardening setup 
festival	 types of cultural events 
fever	 symptoms 
fiber	 materials used in textiles 
fiction	 genres of literature 
fidelity	 trust 
field	 types of landscapes 
field day	 days 
fielder	 positions in baseball 
field hockey	 played with a ball 
field marshal	 military ranks 
field officer	 military ranks 
fifth	 one of five 
fight	 cause pain 
fighter	 types of aircraft 
fighter aircraft	 aircraft 
fighter pilot	 military professions 
fighting	 causes injuries 
fighting game	 types of video games 
figure	 features of a painting 
file	 used for cutting and shaping materials 
file system	 used for storing and retrieving digital data 
fill	 materials used in construction 
filling	 materials 
film industry	 part of entertainment industry 
filmmaker	 involved in movie production 
film maker	 professions in the entertainment industry 
film star	 celebrity 
filter	 used for photography 
finale	 part of a musical performance 
finalist	 contestants 
financial crisis	 crisises 
financial instrument	 financial products 
financial statement	 statements 
financing	 financial activities 
finding	 discoveries 
fine	 types of wine 
fine art	 art 
finger	 parts of the human hand 
finger ring	 worn on the finger 
finish	 components of a race 
finishing school	 educational institutions 
fire	 hot 
fire chief	 firefighters 
fire tower	 used for fire fighting 
firing	 causes death 
firm	 types of business structures 
first	 more important than second 
first base	 positions in baseball 
first baseman	 positions in baseball 
first city	 first to see sunrise 
first grade	 levels of education 
first lady	 wife of president 
first language	 native language 
first minister	 first minister 
first name	 types of names 
first officer	 positions in aviation 
first person	 points of view in literature 
first team	 team 
first time	 hard 
first woman	 first woman 
fish	 meaty 
fisher	 types of fish 
fishing	 outdoor activities 
fishing line	 used for fishing 
fish sauce	 salty 
fitness	 health 
fitness model	 types of models 
fixture	 components of a lighting system 
flag	 types of symbols 
flag carrier	 abbreviated to flag carrier 
flag officer	 officer 
flagship	 types of ships 
flash card	 essential for learning 
flash memory	 memory 
flat	 types of terrain 
flavor	 taste 
fleet	 groups 
flesh	 part of body 
flight	 motivated by the goal of flying 
float	 types of watercrafts 
flood	 natural disasters 
flood plain	 wetlands 
floor	 used for walking 
flora	 plants 
flour	 common ingredients in baking 
flow	 part of waterfall 
flower	 found in a garden 
fluid	 substances 
fly	 types of insects 
focus	 positions 
foe	 enemy 
fog	 types of weather 
foil	 used for cooking and baking 
fold	 cause a desire to sleep 
folk	 genres of music 
folk dance	 types of dance 
folk hero	 famous for heroism 
folk music	 music 
folk religion	 religion 
folk rock	 rock music 
folk singer	 musical genres 
folk song	 types of music 
folk tale	 types of literature 
following	 behaviors 
food bank	 organizations that help people in need 
food chain	 ecosystems 
fool	 stupid 
foot	 body parts 
footage	 used for making movies 
football	 used in american football 
footballer	 sports 
football player	 athletes 
force	 drives 
foreign minister	 government officials 
foreign policy	 policy 
forest	 types of biomes 
forest fire	 fire 
forestry	 part of forestry 
forever	 forever 
fork	 used for eating 
form	 components of a dance 
formal system	 system 
format	 components of a presentation 
formation	 processes 
form factor	 aspects of computer hardware 
formula	 mathematical concepts 
fort	 military installations 
fortress	 types of buildings 
fortune	 fortunes 
forum	 types of online communities 
fossil	 types of natural wonders 
foundation	 used for makeup 
founder	 founders 
founding	 creation 
founding father	 associated with the united states 
founding member	 roles in a band 
fountain	 used for drinking water 
fox	 predatory animals 
fraction	 part of a math problem 
frame	 components of a bicycle 
framework	 components of a computer system 
franchise	 business 
fraud	 deception 
free agent	 independent 
freedom	 human rights 
freedom fighter	 fighting for freedom 
free software	 software 
freestyle	 swimming styles 
freeway	 types of roads 
freeze	 cryosises 
freezing	 crystal formations 
free zone	 zone 
freight	 transportation 
frequency	 properties of sound 
friction	 resistance 
friend	 types of relationships 
friendship	 relationships 
fringe	 hair styles 
frog	 green 
front	 parts of a building 
front end	 part of a car 
front group	 group 
front line	 positions 
front man	 roles in a band 
fruit	 edible 
fruit bat	 bats 
fruit cake	 types of cake 
fruit tree	 part of a garden 
frustration	 causes a desire to scream 
fuel	 located in airports 
full name	 more than one name 
function	 characteristics of a program 
functional	 types of design 
functioning	 cause happiness 
fund	 investment options 
fundamental	 types of physics 
funding	 financial support 
funeral	 death 
funk	 types of music 
funny	 types of humor 
furniture	 used for sitting 
further education	 education 
fury	 emotions 
fusion	 chemical processes 
future	 time periods 
galaxy	 celestial objects 
galaxy group	 groups 
gallery	 places to see art 
game console	 part of a gaming setup 
game engine	 used for developing video games 
game fish	 fish 
game show	 types of television programs 
gaming	 used for fun 
gang	 located in streets 
gap	 cracks 
garage	 used for parking and storing vehicles 
garden	 types of outdoor spaces 
garlic	 spicy 
garment	 used for clothing 
garrison	 fortification 
gas	 types of fuel 
gasoline	 types of fuel 
gastropod	 shellfishs 
gate	 entranceways 
gateway	 used for access 
gathering	 assemblies 
gay	 sexual orientations 
gay bar	 types of bars 
gear	 components of a car 
gen	 types of letters 
gender	 characteristics of a person 
gender identity	 psychological constructs 
gene	 part of genes 
general	 types of military ranks 
general classification	 classification 
general election	 election 
general manager	 top executives 
general strike	 strike 
generation	 part of population 
generic name	 nomenclature 
genius	 intellectual ability 
genocide	 crime 
genre	 components of film 
genre fiction	 fiction 
genus	 types of biological classification 
genus name	 name 
geographical area	 used for mapping 
german	 languages spoken by millions of people worldwide 
gesture	 components of communication 
ghost	 spirit 
ghost ship	 ships 
ghost story	 types of stories 
ghost town	 types of urban environments 
giant	 types of crabs 
giant star	 types of stars 
gift	 types of gifts 
gift card	 used for financial transactions 
gill	 part of a fish 
girl	 types of people 
girl band	 musical groups 
girlfriend	 types of relationships 
girl group	 types of music groups 
given name	 nouns 
glacier	 natural formations 
glass	 transparent 
glen	 types of landscapes 
globe	 geographical references 
glory	 pride 
glove	 used for protection from the cold 
gmina	 municipalities 
goal	 elements of soccer 
goalie	 soccer positions 
goalkeeper	 football positions 
goal keeper	 part of a soccer team 
goddess	 deities 
gold	 yellow in colour 
gold coin	 made of gold 
gold medalist	 medalists 
gold mine	 types of mining operations 
gold rush	 economic booms 
golf	 sports played on a field 
golf club	 used in golf 
golf course	 places to play sports 
golfer	 athletes 
goodbye	 farewell 
good guy	 nice 
goods	 located in warehouses 
gospel	 types of religious texts 
governor	 officials in government 
grace	 beauty 
grade	 levels of education 
graduate	 educational levels 
graduate school	 types of educational institutions 
graduate student	 student 
grain	 components of a dish 
grammar	 parts of language 
grammar school	 types of schools 
grandfather	 older than father 
grandmother	 related to children 
grandson	 relationships 
granite	 stones used for countertops 
grant	 financial aid 
grape	 sweet 
graph	 used for data analysis 
graphic	 types of visual art 
graphic novel	 types of comic books 
graphics	 part of computer systems 
grass	 green 
grave	 used for burial 
gravity	 forces 
great house	 types of houses 
greece	 european countries 
greek	 one of many languages 
green	 colors 
green belt	 part of a nature reserve 
greenhouse gas	 gases in the atmosphere 
green party	 political parties 
green tea	 types of tea 
grenade	 used for combat 
grid	 used for solving puzzles 
grief	 sadness 
grill	 used for cooking outdoors 
grocery	 shops 
grocery store	 places to buy food 
ground	 dirt 
grounds	 territories 
grouping	 classification 
group leader	 leader 
grove	 part of a forest 
growth	 increase 
guarantee	 assurance 
guard	 security measures 
guardian	 responsible for child's well-being 
guerrilla	 military tactics 
guest	 visitors 
guest room	 types of rooms in a house 
guidance	 counseling 
guide	 used for bird watching 
guild	 groups 
guilt	 emotional states 
guinea	 west african countries 
guitar	 string instruments 
guitarist	 musicians 
gulf	 bodies of water 
gun	 used for hunting 
gunman	 criminal 
guru	 types of spiritual leaders 
guy	 types of lines used in construction 
gym	 sports facilities 
gymnastics	 types of sports 
habit	 types of behavior 
habitat	 environmental factors 
hair	 part of the human body 
half	 one of two 
half brother	 related by blood 
hall	 used for entertainment 
halt	 cause a desire to rests 
ham	 meaty 
hamlet	 types of literature 
hammer	 tools for home repairs 
hand	 parts of the human body 
handful	 quantities of materials 
hand grenade	 weapons used for combat 
handling	 cause a desire to play 
hand tool	 used for construction 
happiness	 located in parties 
harassment	 causes a desire to runs 
harbor	 used for sailing 
harbour	 maritime locations 
hard rock	 rock 
hardware	 located in stores 
harm	 diseases 
harmony	 musical concepts 
harper	 types of musical instruments 
harvest festival	 festival 
hat	 worn on the head 
hatch	 types of eggs 
hate crime	 crime 
hatred	 located in war 
head	 parts of a human body 
head coach	 coachs 
headline	 components of a newspaper 
headquarters	 buildings 
head teacher	 teachers 
healing	 medical treatments 
healthcare	 social services 
health care	 health professions 
hearing	 sensing 
heart	 parts of the human body 
heart rate	 indicators of physical condition 
heat	 located in ovens 
heat engine	 power generation 
heating	 causes a desire to bathes 
heat wave	 weather phenomena 
heavy metal	 music genres 
heavyweight	 boxing weight classes 
hedge	 part of a garden 
hedge fund	 investment options 
height	 properties of a shape 
heir	 legal terms 
helicopter	 aircrafts 
helmet	 used for biking 
help	 good 
hemisphere	 part of a globe 
herb	 types of plants 
hero	 archetypes 
hidden agenda	 agenda 
hierarchy	 organizations 
high court	 abbreviated to hc 
higher education	 education 
high jumper	 athletes 
highland	 types of terrain 
highlight	 part of hair coloring 
high point	 points 
high priest	 religious leader 
high school	 types of schools 
highway	 types of roads 
hike	 outdoor activities 
hiking	 types of outdoor activities 
hill	 natural landmarks 
hill station	 types of vacation destinations 
hip	 parts of the human body 
hip hop	 types of music 
historian	 professions 
historical method	 method 
history	 disciplines in school 
hitter	 components of a baseball game 
hockey	 sports played on ice 
hold	 positions 
holder	 used for holding and organizing items 
holding	 positions 
holding company	 corporate entities 
hole	 openings 
holocaust	 books 
home	 types of dwellings 
home computer	 types of computers 
homeland	 films 
home page	 pages of a website 
homer	 great 
home run	 sports terms 
hometown	 places of residence 
home town	 types of geographic locations 
home video	 types of video formats 
honor	 respect 
honour	 values 
hood	 part of a car 
hop	 part of a beer 
hope	 causes a desire to help 
horizon	 bands 
hormone	 chemical substances 
horn	 types of musical instruments 
horror	 types of movie genres 
horror film	 types of movies 
horse	 animals 
horse race	 sports 
horse racing	 sports 
hospital ship	 used for medical emergencies 
host	 components of a computer system 
hostage	 people 
hostility	 emotion 
hosting	 services 
hot sauce	 spicy condiments 
hot spring	 types of hot springs 
hour	 time units 
house	 types of residential buildings 
household	 types of waste 
household name	 famous 
house music	 music 
house style	 style 
housing	 types of social housing 
housing estate	 types of residential areas 
hub	 components of a bicycle 
human	 types of animals 
humanitarian	 types of organizations 
human right	 rights 
human rights	 rights 
humor	 types of comedy 
hunt	 used for hunting 
hunter	 types of outdoor enthusiasts 
hunting	 hobbies 
hurricane	 natural disasters 
husband	 roles in a relationship 
hybrid	 types of cars 
hybrid vehicle	 types of cars 
hydrogen	 elements of the periodic table 
hypothesis	 part of scientific method 
ice	 located in freezers 
ice cap	 part of glaciers 
ice cream	 cold 
ice field	 found in arctic regions 
ice hockey	 sports 
ice shelf	 found in the arctic 
ice show	 types of sports events 
icon	 types of graphic design 
idea	 used for thinking 
ideal	 types of goals 
identification	 part of identification 
identity	 relationships 
ideology	 doctrines 
idol	 found in a temple 
illness	 causes a desire to sleep 
illustration	 types of art 
image	 representations 
imaging	 medicine 
imam	 religious leaders 
immigrant	 migrant 
immigration	 emigration 
immunity	 defense mechanisms 
impact	 effect 
impact crater	 types of geological formations 
imperial decree	 legislation 
implementation	 software development 
import	 commerce 
importance	 quality 
impression	 impressions 
imprisonment	 punishment 
improvement	 betterment 
inability	 causes a desire to drink 
incentive	 types of motivation 
inception	 films 
inch	 units of measurement 
incident	 part of a story arc 
inclusion	 combinations 
income	 flow 
increase	 growth 
independence	 freedom 
independent city	 city 
independent scholar	 independent 
index	 reference books 
indication	 communication 
indicator	 chemical compounds 
individual	 types of behavior 
industrial design	 design 
industrial estate	 estates 
industrial park	 types of industrial buildings 
industry	 production 
infant	 types of humans 
infantry	 military units 
infection	 located in hospitals 
influence	 involvement 
information	 located in encyclopedias 
information model	 abbreviated to im 
information science	 science 
information space	 space 
information system	 information systems 
information technology	 abbreviated to it 
infrastructure	 components of a transportation system 
ingredient	 components of cooking 
initial	 first letters of the alphabet 
initiative	 motivation 
injection	 drug use 
injury	 illnesses 
ink	 located in pens 
inmate	 prisoners 
inn	 types of lodging establishments 
inner city	 types of urban environments 
innocent	 innocence 
innovation	 introductions 
input	 components of a computer system 
input device	 used for computing 
inquiry	 inquiries 
inscription	 part of a tombstone 
inside joke	 joke 
insider	 types of traders 
inspection	 investigations 
inspector	 roles in law enforcement 
inspiration	 causes a desire to write 
installation	 types of art 
instance	 cases 
instant	 types of time 
institute	 organizations 
instruction	 located in classrooms 
instruction set	 parts of a computer system 
instructor	 educators 
instrumental	 types of music 
insurance	 types of financial investments 
insurance company	 businesses 
insurance policy	 types of financial documents 
insurer	 financial institutions 
insurgency	 rebellion 
insurgent	 rebel 
integration	 involves combining 
intellectual	 types of intelligence 
intelligence	 thinking 
intelligence agency	 intelligence organization 
intelligent system	 abbreviated to is 
intensity	 levels of sound 
interaction	 communication 
interception	 catchs 
interchange	 substitution 
interest	 feelings 
interface	 components of a computer system 
interference	 interference 
interior	 parts of a building 
interior designer	 professions in the design industry 
intermediate	 levels of proficiency 
international	 types of organizations 
international airport	 types of airports 
interpretation	 interpretations 
interpreter	 computer languages 
intersection	 points 
interval	 time periods 
intervention	 actions 
interview	 types of job applications 
intimidation	 causes fear 
introduction	 components of a book 
invasion	 invasions 
invention	 creation 
inventory	 used for retail 
investigation	 probes 
investigator	 professions 
investment	 financial planning 
investment bank	 types of financial institutions 
investor	 involved in finance 
involvement	 cause feelings 
ion	 charged particles 
iron	 used for pressing clothes 
iron hand	 iron 
iron mine	 mine 
irrigation	 watering 
island chain	 archipelagos 
island state	 one of 50 states in united states 
isle	 found in the ocean 
isolation	 separation 
issue	 publications 
item	 used for organizing or storing items 
jack	 used for securing objects 
jacket	 types of outerwear 
jail	 types of detention 
japan	 sushi 
java	 types of coffee 
jazz	 music genres 
jazz band	 types of music 
jersey	 types of clothing worn in cold weather 
jet	 modes of transportation 
jet engine	 engine types 
jet fighter	 aircrafts 
jewelry	 located in purses 
job	 work 
job title	 used for job hunting 
jockey	 related to horse racing 
joe	 nuts 
johnson	 last names 
joint	 bones 
joint committee	 committees 
joint venture	 types of business partnerships 
joke	 types of humor 
journal	 used for writing or note-taking 
journalist	 professions in media 
journey	 part of travel 
joy	 causes laughter 
judge	 legal professionals 
judgment	 conclusions 
judicial branch	 one of three branches of government 
juice	 drinks 
jump	 types of exercises 
jumper	 used for playing volleyball 
junction	 connections 
jungle	 types of habitats 
junior	 levels of education 
junior college	 types of higher education institutions 
jurisdiction	 control 
justice	 righteousness 
justification	 explanation 
keeper	 goalkeepers 
key	 for security 
keyboard	 part of a music setup 
khan	 mongolian 
kidnapping	 criminal acts 
killer	 murderers 
killing	 cause death 
killing spree	 homicide 
kilometer	 units of measurement 
kind	 types of non-fiction books 
king	 types of mattresses 
kingdom	 types of governments 
kit	 used for playing chess 
kitchen	 used for food preparation 
knee	 joints in the human body 
knife	 used for cutting food 
knight	 types of chess pieces 
knocking	 cause open doors 
knockout	 punchs 
know	 located in libraries 
knowledge	 information 
knowledge base	 database 
kong	 monkeys 
lab	 used for scientific research 
label	 used for identifying things 
labor	 work 
laboratory	 places for scientific research 
labor camp	 places 
labor union	 associations 
labour	 work 
labour union	 association 
lack	 shortages 
lady	 types of women 
lake	 used for swimming 
lama	 found in tibet 
land	 types of terrain 
land bridge	 natural things 
land grant	 grant 
landing	 part of a staircase 
landing craft	 used for transporting people or cargo 
landmark	 marks 
landscape	 types of artwork 
landslide	 natural disasters 
lane	 part of a golf course 
language family	 language group 
laptop	 types of computers 
laptop computer	 used for computing 
laser	 types of light sources 
last name	 components of a name 
latin	 languages 
latter	 types of letters 
latter day saints	 lds 
launch	 types of spacecraft 
launch vehicle	 spacecraft 
laureate	 honorific titles 
law enforcement	 part of legal system 
lawmaker	 involved in politics 
lawn	 types of grass 
law school	 types of graduate school 
law student	 student 
lawsuit	 legal actions 
layer	 types of clothing 
layout	 arrangements 
lead	 elements 
lead character	 elements of a screenplay 
lead dog	 lead 
leader	 types of fishing gear 
leadership	 located in companies 
lead poisoning	 poisoning 
lead vocalist	 musical roles 
leaf	 parts of a tree 
learning	 causes a desire to reads 
lease	 types of legal documents 
leather	 materials used for making shoes 
lecture	 types of educational events 
lecturer	 professions related to education 
left fielder	 positions in baseball 
left wing	 wing 
leg	 part of a chair 
legacy	 gift 
legal entity	 entity 
legal term	 term 
legend	 types of stories 
legion	 legionnaires 
legislation	 laws 
legislative body	 governmental bodies 
legislative branch	 branches of government 
legislator	 political officials 
legislature	 government branches 
lender	 types of financial institutions 
lending	 borrowing 
length	 dimensions 
lens	 used for photography 
letter	 written communication 
level	 used for construction 
liability	 responsibility 
liaison	 convention 
liberation	 emotional states 
licence	 used for driving 
license	 permissions 
lieutenant	 military ranks 
lieutenant colonel	 military ranks 
lieutenant governor	 political offices 
life	 precious 
life coach	 types of personal development professionals 
life form	 organisms 
life insurance	 insurance 
life partner	 partner 
lifestyle	 ways of living 
lifetime	 time periods 
light	 used for lighting 
lighthouse	 types of navigation aids 
lighting	 part of stage design 
lightning	 electrical discharges 
light rail	 types of transportation 
light show	 performance 
limestone	 types of stone used in building construction 
limit	 boundaries 
line	 parts of a fishing reel 
linebacker	 positions in football 
line dance	 types of dance 
liner	 part of a ship 
lining	 part of a shoe 
link	 types of jewelry 
lion	 found in the savannah 
lip	 parts of the face 
liquid	 states of matter 
liquid asset	 liquid asset 
liquor	 alcoholic beverages 
list	 types of organizing tools 
listening	 cause a desire to dances 
listing	 listing 
literacy	 skills 
literary agent	 professions in the publishing industry 
literary device	 elements of literature 
literary language	 language 
literary technique	 aspects of literature 
literature	 used for writing 
litigation	 legal actions 
live album	 types of music releases 
live oak	 trees 
liver cancer	 cancer 
livestock	 domestic animals 
living	 different than dead 
loan	 types of financial transactions 
lobbyist	 professionals 
local government	 government 
lock	 used for security 
locker	 used for storing personal items 
locomotive	 used for transportation 
log	 part of a tree 
logic	 rules 
logic gate	 components of a computer 
logo	 used for branding 
long jumper	 types of athletic shoes 
look	 ways to describe an object 
loop	 part of a knitting pattern 
lord	 types of nobility 
loser	 unwilling to take risks 
loss	 decrease 
lot	 located in cities 
lottery	 types of gambling 
lotus	 found in water 
lounge	 types of seating 
love	 causes a desire to kiss 
love interest	 character types in romantic movies 
lover	 part of a love triangle 
love song	 types of songs 
lower house	 part of parliament 
loyalty	 dvocacy 
luggage	 items for traveling 
lumber	 used for building 
lunch	 meals of the day 
luxury	 quality 
lyon	 french cities 
machine	 used for sewing 
machine gun	 used for firearms 
machinery	 used for construction 
machine tool	 part of a machine tool setup 
madison	 types of cities 
mafia	 criminal organizations 
magazine	 printed media 
magic	 illusion 
magistrate	 judges 
magnitude	 properties of a planet 
maiden	 types of women 
mail	 used for sending and receiving mail 
main	 part of a meal 
main building	 part of a university 
main course	 courses 
main group	 one of main group elements 
mainland	 part of continents 
main line	 lines 
mainstream	 movies 
maintenance	 maintenance 
major element	 chemical elements 
major general	 rank 
majority	 numbers 
majority owner	 owner 
major league	 leagues 
major party	 party 
major scale	 types of musical scales 
make	 components of a watch 
maker	 creator 
makeup artist	 professions related to the beauty industry 
making	 used for enjoyment 
male	 sex 
male member	 part of a male body 
mall	 places to shop 
malta	 one of mediterranean islands 
man	 male 
management	 organizations 
manager	 positions of authority 
managing director	 directors 
maneuver	 military operations 
manga	 types of comics 
manhattan	 types of cocktails 
manipulation	 control 
manner	 aspects of personality 
manor	 types of estates 
manor house	 large houses 
mansion	 types of homes 
manual	 types of books 
manufacture	 making 
manufacturer	 involved in food production 
manufacturing	 production 
manuscript	 types of written documents 
map	 used for hiking and outdoor activities 
maple	 types of wood used for furniture 
mapping	 representations 
marathon	 types of races 
marble	 types of natural stone 
march	 types of music 
marina	 used for sailing 
marine	 types of environments 
mark	 part of a book 
marker	 used for writing and drawing 
market	 places to buy goods 
marketing	 selling 
marketplace	 places to buy things 
market place	 places to buy and sell goods 
market research	 research 
market town	 small 
market value	 value 
marking	 indications 
marriage	 relationships 
marshal	 military ranks 
martial art	 disciplines 
martial artist	 sports 
mask	 essential for diving 
mason	 craftsmans 
mass	 physical properties 
massacre	 killing 
mass media	 used for disseminating information 
mass murder	 murder 
master	 roles in a relationship 
match	 used for lighting a fire 
mate	 herbal teas 
material	 elements of interior design 
mathematics	 used for counting 
matrix	 essential for matrix multiplication 
matter	 located in space 
may	 months in a year 
mayor	 elected officials 
meal	 components of a diet 
meaning	 information 
mean time	 time 
measure	 components of cooking 
measurement	 quantities 
meat	 located in grocery stores 
mechanics	 engineers 
mechanism	 components of a watch 
medal	 types of awards 
medalist	 sports awards 
media	 communication 
media bias	 bias 
media outlet	 information sources 
media player	 electronic devices 
mediator	 professions 
medical	 types of professions 
medical doctor	 doctors 
medical school	 types of academic programs 
medical student	 student 
medication	 located in cabinets 
medicine man	 healer 
medieval	 types of historical periods 
mediterranean sea	 saltwater 
medium	 types of art 
medley	 composition 
meeting	 events 
meeting place	 used for meetings 
meeting room	 used for meetings 
melody	 components of music composition 
meltdown	 doubles 
member	 parts of a body 
membership	 involvement 
member state	 part of international organizations 
memoir	 types of non-fiction writing 
memorial	 types of monuments 
memorial park	 types of parks 
memory	 types of computer storage 
memory card	 used for photography 
men	 male animals 
mental disorder	 disorder 
mentor	 types of professional development 
merchant	 business roles 
merchant bank	 bank 
merchant marine	 mariners 
merchant ship	 types of ships 
mercury	 toxic substances 
mesa	 types of tables 
message	 part of a communication system 
metal	 materials used in construction 
meter	 parts of a song 
method	 part of scientific inquiry 
metre	 part of a music composition 
metric	 units of measurement 
metro	 types of public transportation 
metropolitan area	 abbreviated to metro 
metropolitan borough	 municipal boroughs 
metropolitan county	 abbreviated to mc 
metro station	 public transportation hubs 
middle	 parts of a human body 
middle class	 income groups 
middle name	 name 
middle school	 educational institutions 
midfielder	 positions in a soccer team 
midway	 located in carnivals 
migrant	 types of workers 
migration	 moving 
mile	 units of distance 
milestone	 part of a race 
militant	 militant 
military academy	 types of schools 
military exercise	 exercises 
military order	 order 
military school	 school 
military service	 service 
militia	 military units 
milk	 types of dairy products 
mill	 types of food processors 
miller	 brewers 
millionaire	 rich 
mind	 capable of thought 
mind game	 video games 
miner	 professions 
mineral	 natural materials 
mineral water	 water 
minimum	 points 
mining	 industries 
minister	 religious leaders 
ministry	 organizations 
minority	 status 
minority leader	 leader 
minor league	 leagues 
minor planet	 types of celestial objects 
mint	 flavors of tea 
minus	 negative 
minute	 units of time 
miracle	 mysterious 
mirror	 used for reflection 
missile	 weapons 
mission	 goals 
missionary	 types of religious leaders 
mix	 blend 
mixed company	 uncomfortable for people to work together 
mixture	 blends 
mobile game	 types of video games 
mobility	 mobility 
mode	 modes 
model	 part of art 
modeling	 drafts 
modern art	 art 
modern dance	 types of dance 
modernization	 improvement 
module	 electronic components 
moment	 time 
momentum	 energy 
monarchy	 forms of government 
monastery	 places of worship 
monetary policy	 economic policy 
money	 located in purses 
monitor	 part of a computer setup 
monitoring	 watching 
monk	 types of religious leaders 
monkey	 animals found in the jungle 
monopoly	 games 
monster	 fictional creatures 
month	 time units 
monument	 artistic displays 
mood	 elements of a song 
moon	 celestial objects 
morning	 time periods 
morning star	 one of celestial bodies 
mosque	 types of places of worship 
moth	 insects 
mother	 part of a family 
mother goddess	 associated with fertility 
motion	 causes fatigue 
motion capture	 motion capture 
motion picture	 types of visual media 
motive	 reason 
motor	 part of a car's engine 
motorcycle	 modes of transportation 
motorcycle club	 types of motorcycle clubs 
motor vehicle	 modes of transportation 
motto	 phrases 
mound	 part of a baseball field 
mountain chain	 types of terrain 
mountain range	 geographical features 
mouse	 used for inputting data 
mouth	 used for talking 
move	 motivated by the goal of gets 
movement	 moving 
movie	 types of entertainment 
movie theater	 places to watch movies 
movie theatre	 used for watching movies 
moving	 cause a desire to sleep 
mud	 natural substances 
multimedia	 types of communication 
multiple	 types of investment options 
multiple star	 astronomical objects 
municipal corporation	 corporation 
municipality	 types of government 
murder	 criminal acts 
muscle	 types of tissue 
muscle car	 types of sports cars 
museum	 types of cultural institutions 
musical	 types of theater performances 
musical instrument	 used for playing music 
music chart	 part of a piano player's setup 
music group	 music 
music hall	 types of theaters 
music video	 types of music media 
mystery	 types of book genres 
mystery play	 play 
myth	 types of stories 
mythology	 theology 
name brand	 types of clothing 
narrative	 types of literature 
narrator	 roles in a play 
nation	 types of geographical divisions 
national	 types of parks 
national academy	 academy 
national airline	 abbreviated to naa 
national anthem	 anthems 
national convention	 political party 
national court	 national court 
national day	 national holiday 
national epic	 epic 
national holiday	 holiday 
nationalism	 political ideology 
nationalist	 political ideology 
nationality	 citizenship 
national park	 types of protected areas 
national security	 security 
national service	 service 
native	 types of plants 
native bear	 found in canada 
native language	 language 
native speaker	 speaker 
native species	 species 
native title	 title 
natural	 types of beauty 
natural fiber	 fiber 
natural gas	 types of fossil fuels 
natural language	 language 
natural process	 processes 
natural reserve	 types of protected areas 
natural science	 science 
nature	 types of environment 
nature reserve	 places to observe wildlife 
naval architect	 architects 
navigation	 part of aviation 
navy	 blue 
necessity	 human nature 
need	 part of a sewing kit 
neglect	 neglect 
negotiation	 discussions 
negotiator	 professions 
neighbor	 close to 
neighborhood	 different from other neighborhoods 
neighbourhood	 districts 
nephew	 family members 
nerve	 part of nervous system 
nervous system	 part of the body 
net	 used for playing volleyball 
network	 part of a communication system 
networking	 communication 
net worth	 financial ratios 
new age	 age 
newcomer	 new to job 
new media	 digital media 
news anchor	 types of media personalities 
news channel	 types of television channels 
news correspondent	 types of journalists 
news media	 mediums 
newspaper	 printed publications 
newton	 units of measurement 
new town	 new 
new year	 first day of year 
niche	 types of habitat 
nickel	 types of metal 
nickname	 names 
night	 dark 
nightclub	 types of entertainment venues 
nightmare	 bad 
noise	 unpleasant 
nomination	 votes 
nominee	 candidate 
nonsense	 untrue 
noon	 times of day 
norm	 standard 
north	 compass directions 
northeast	 regions 
nose	 parts of the face 
notable	 adjectives 
note	 types of music 
notice	 notices 
notion	 ideas 
nova	 astronomical objects 
novel	 types of literature 
novelist	 authors 
nuclear power	 power 
nuclear weapon	 weapons 
number	 used for counting or measuring 
nurse	 medical professions 
nutrition	 components of healthy lifestyle 
oak	 types of wood 
oak tree	 found in a forest 
oath	 commitment 
objective	 parts of a lens 
oblast	 one of many geographic regions 
obligation	 responsibility 
observation	 cause knowledge 
observatory	 used for scientific research 
observer	 scientific instruments 
obstacle	 features of a maze 
occupation	 cause stress 
ocean	 natural bodies of water 
ocean current	 part of oceanography 
offense	 violence 
offensive	 types of military strategies 
offering	 giving 
office	 types of workspace 
office building	 types of commercial buildings 
officer	 military ranks 
official	 types of documents 
oil	 used for cooking 
oil field	 industrial sites 
oil painting	 types of art 
oil platform	 found in the ocean 
oil refinery	 types of industrial facilities 
oil well	 sources of oil 
old man	 cranky 
onion	 used in cooking 
only child	 one of many children 
only daughter	 very precious to parents 
only son	 son 
open cluster	 clusters 
open game	 game 
open house	 houses 
opening	 part of a theater experience 
opening batsman	 batsman 
open letter	 types of letters 
open market	 market 
open source	 types of software 
open system	 systems 
opera	 types of musical performances 
opera house	 types of performance venues 
opera singer	 singers 
operating system	 computer components 
operation	 components of a computer system 
operative	 types of surgery 
operator	 part of a computer system 
opinion	 beliefs 
opponent	 rivals 
opportunity	 opportunity 
opposite	 same as opposite 
opposition	 positions 
option	 types of financial instruments 
orange	 types of citrus fruits 
orbit	 components of space exploration 
orchestra	 musical groups 
order	 social control 
ore	 minerals 
organ	 musical instruments 
organic chemistry	 chemistry 
organic compound	 compound 
organic matter	 matter 
organisation	 units 
organizer	 used for organizing things 
orientation	 information 
origin	 beginnings 
outcome	 endings 
outfielder	 positions in baseball 
outfit	 clothing items worn for fashion or function 
outlet	 used for electrical power 
outline	 elements of a screenplay 
outlook	 email clients 
outpost	 military bases 
