disagreement	skepticism, unanimity, hesitation, division, opposition	difference in opinion, lack of consensus, conflict of views, reservation
gold rush	cultural and historical significance, environmental impact	california gold rush (1848-1855), migration of people to california, gold mining and prospecting, profit and wealth creation, social and economic changes, political and legal developments, modern-day gold mining, gold rushes in other areas
sierra	has diverse ecosystems, formed by tectonic plate movement, has cultural and spiritual significance	mountain range in north america, home to many endangered species, highest peak is mount whitney, part of the pacific ring of fire, important for recreation and tourism, influences climate and weather patterns, under threat from climate change
resolution	clarity, sharpness, depth, quality, scale, color, definition, size	resolutionary
girl group	popular music genre, social media presence, vocal harmonies, cultural impact	all-female group, choreographed dance routines, merchandise sales, high-profile performances, interpersonal dynamics
doubt	apprehension, insecurity, reservations, skepticism, questioning, uncertainty, fear	wavering, mistrust
publishing	monetization, ethics, distribution, legality, quality, digital	print, authorship, copyright
original	unmodified, uncreated, unaltered, first, unique	uncopied, unvariant, unreplicated, unreproduced
air gun	uses compressed air as propellant, can be used for hunting small game, requires proper safety precautions	fires projectiles without a explosive charge, typically quieter than traditional firearms, less recoil than firearms, uses minimal maintenance compared to firearms, can be used for pest control, may not be as accurate as firearms, may be illegal in some areas
van	fuel type, cargo capacity, seating capacity, height, transportation, length	door count, transmission type, engine size, wheelbase
medical examiner	provides expert testimony in court	examines deceased individuals to determine cause of death, performs autopsies and other diagnostic tests, interprets medical evidence in criminal investigations, maintains detailed records and reports, must have extensive knowledge of anatomy and physiology, works closely with law enforcement and other agencies, must be able to work in a fast-paced and often stressful environment, must have excellent communication and interpersonal skills, must be able to work independently and make sound decisions
statistic	can be used to compare, can be used to communicate, can be used to make decisions	measures numerical value, represents data collection, used for analysis, can be used to predict, can be used to summarize, can be used to describe, can be used to visualize
responsibility	liability, answerability, social responsibility, personal responsibility, duty, obligation, accountability	moral obligation, accountableness
federal official	enforces federal laws, government employee, appointed by president, serves for a fixed term	represents national interests, advises elected officials, senate confirmation required, oversees federal agencies, independent or political appointee, accountable to congress
actress	sexuality, role, performer, movies, actor, characters, female, awards, gender	
poetry	political and social commentary, emotional resonance, creative expression	language and form, imagery and symbolism, personal and cultural perspectives, musicality and rhythm, universality and shared experience, emotional and psychological depth
supervisor	promotes teamwork, provides guidance and support, provides feedback, sets goals and objectives, resolves conflicts, makes decisions	manages employees, monitors performance, evaluates work, issues instructions
music group	tours and performs live shows, may change members over time, releases music albums, performs live	consists of multiple musicians, creates music together, can be classified into different genres, composed of lead vocalist, instrumentalists, and other roles, can have a significant cultural impact, influences other musicians and artists
corner shop	small in size, may have a loyal customer base	located at a street corner, carries basic essentials, open during limited hours, has a small selection of products, may have a limited menu, offers convenience to nearby residents, has a cozy atmosphere, is often a gathering place
eye witness	limited perspective, credible, unbiased, subjective, accurate, reliable, personal	first-hand, human error
blood	transports waste products, can be affected by disease or injury, helps regulate body temperature	carries oxygen and nutrients, plays role in immune system, has different types (e.g. abo, rh), can be used for medical testing, can be donated for transfusions, has different functions in different stages of life, is a vital fluid for human survival
missionary	proselytizing, teaching, faith, sharing, religious	spreading, evangelical, good news, converting
bond issue	maturity date, face value, issuer, denominations, interest rate	par value, credit rating, coupon rate, borrower, use of proceeds
chemical rocket	creates thrust through exhaust	uses chemical reactions for propulsion, burns fuel to produce hot gas, needs oxygen for combustion, can be powered by liquid or solid fuel, uses nozzle for efficient exhaust, requires a combustion chamber, can be steered by changing thrust, has limited specific impulse, requires careful control of variables
drinking	social activity, impaired judgment, risky behavior, alcoholic beverage	legal age limit, coordination loss, addiction potential, hazardous to health, memory blackout
rover	uses sensors, performs tasks, transmits data, can perform tasks	moves on wheels, explores terrain, has cameras, travels autonomously, can drive, can navigate
profound	thought-provoking, intricate, multifaceted, intellectual, insightful, deep, complex	profoundly impactful, subtle yet profound
powder	can be used for cosmetic purposes, can be used as a thickening agent, can be used for medicinal purposes, can be used for various purposes	finely divided solid substance, typically made from ground particles, may be mixed with liquids or solids, can be used as a filler, may be used in fireworks, may be used in explosives
front page	welcome, exterior, summary, face	homepage, main entrance, first impression, overview, introduction
bell pepper	sweetness, cultivation, yellow, red, green, history	capsicum annuum, pungency, crunchiness
day school	socialization, compulsory, structured, educational, formal	age-specific, peer-based, instructional, skill-building
black hat	available in various colors and styles, can be a fashion statement	sleek and stylish, can be worn with various outfits, often associated with hacking and cybersecurity, can be worn for both formal and casual occasions, often worn by programmers and tech enthusiasts, can be used to shield one's face, can be worn with a suit or casual wear
fight song	anthemic, motivational, energizing, inspirational, uplifting, competitive, emotive	team-building, spirit-lifting
crane	elevated, lifting, heavy-duty, construction, large	towering, crawler, hoist, industrial
space frame	intergalactic, cosmic, celestial, galactic, astronomical, extraterrestrial, astral	interstellar, astrophysical
foster	mentor, care, train, help, support	nurture, raise, develop, encourage
collective agreement	consensus-based decision-making, collaborative decision-making, mutual understanding	shared commitment, shared goals and values, cooperative communication, group problem-solving, cohesive teamwork, agreement among members
room	acoustics, ventilation, furniture, lighting, temperature, purpose, color, size	decoration
right fielder	fielding, catching, throwing, offense, position, defense	base running, hitting, baseball knowledge, field positioning
space flight	radiation exposure, microgravity, travels through space, zero gravity	faster than sound, gravity effects, orbital mechanics, reentry, spacecraft design
risk management	compliance with regulations, cost-benefit analysis, collaboration and communication	identifying potential risks, assessing likelihood and impact, developing mitigation strategies, implementing risk controls, monitoring and reviewing, continuously improving, risk-based decision making
responsible consumption	supports local communities, informed, thoughtful, ethical, sustainable	transparent and accountable, fair and equitable, considerate of environmental impact, respectful of human rights
baseball field	first base, home plate, second base, third base, outfield, grass surface, rectangular shape	basepaths, diamond shape
basic research	peer-reviewed, rigorous, methodical, original, systematic, curious, innovative, independent	replicable
blood sport	injurious, unethical, violent, illegal, dangerous	bloody, inhumane, barbaric, brutal
question period	voice tone, average duration, tone, importance, frequency	informal vs formal, utterance types, topic range, politeness
big boy	adventurous and curious	strong and brave, loves to play rough, enjoys eating big portions, happy with simple things, loves to explore new places, kind and gentle with friends, has a big heart, full of energy and enthusiasm, loves to make new friends
deck	can be customized	a set of cards, usually made of plastic or wood, can be used for playing games, has a certain number of cards, can be shuffled, has a dealer, can be used for gambling, has different suits, can be used for magic tricks
raceway	oval, banked, multi-lane, indoor, straight, outdoor, circular	asphalt, dirt
news anchor	interviews guests, provides context	delivers news, presents information, reports on events, reads news scripts, summarizes stories, hosts talk shows, anchors live broadcasts
launch vehicle	uses rocket propulsion, can be used for various purposes	carries payloads into space, can be expendable or reusable, has a specific design for launch, uses a launchpad for launch, has a specific trajectory for launch, can be launched from land or sea, can be modified or upgraded, has a specific name or designation
ranger	connects, educates, empowers, enforces, inspires, monitors, protects	preserves, conserves
measure	width, pressure, height, volume, temperature, weight, distance, length, time	
institution	governed, legitimate, established, credible, regulated, official, structured, formal, organized	
project management	time management, risk management	planning and organizing, budgeting and cost control, task delegation and prioritization, communication and collaboration, monitoring and controlling progress, resource allocation and management, change management, quality management and assurance
equipment	helps perform tasks, can be found in many settings, can be expensive or inexpensive, can be used for various purposes	can be moved around, usually has a handle or grip, can be powered by electricity or human effort, has a specific design or function, can be repaired or maintained, can be used for a long time
charter school	state-specific, open to all, accountable, free, optional, independent	non-profit, publicly funded, may have longer school days, subject to regulations
arch rival	can be a source of inspiration	opposite team or individual, historical or ongoing conflict, mutual dislike or hostility, rivalry often drives innovation, can lead to friendly competition, can create a sense of community, can lead to clashes of egos, can be a distraction from main goals
sea snake	has a long, slender body	has a distinctive pattern of dark blotches, can grow up to 3 meters in length, found in warm ocean waters worldwide, can swim rapidly through the water, uses its body to steer and maneuver, has a venomous bite, can live for up to 20 years, is an apex predator in many ecosystems, is an important part of marine ecosystems
music theory	scales, meter, melody, tempo, harmony, rhythm	harmonic series, chord progressions, key signatures
cocktail party	mingling, alcoholic drinks, music and entertainment, social gathering, networking, dancing, formal attire	hors d'oeuvres, small talk
red meat	high in protein, nutritious	cancer-risk controversial, rich in iron, health effects debated, dietary guidelines vary, taste and texture vary, different cuts have different qualities, cooking methods affect flavor and texture
cone	can be made of various materials	a three-dimensional shape, curved surface, circular cross-section, tapered from base to top, can be right, left, or upside-down, symmetrical about central axis, can be used as container or model, has circular base and circular cross-section
qualification	requirements, obtaining, validity, work experience, benefits, education, legal, types, definition	
shallow	superficial, lacking depth, inferior, unimportant, trivial, shallow	insubstantial, vacuous, flimsy
window frame	made of wood or metal, rectangular shape	provides a view from inside to outside, opens and closes to regulate air flow, can be decorated with various styles, helps to insulate home, can be tinted or frosted for privacy, can be opened or closed manually or with automation, can be used in various rooms of a house
litigant	defendant in a legal proceeding	party to a lawsuit, plaintiff or respondent, person involved in a legal dispute, party to a court case, lawsuit participant, legal action participant, court case party, legal proceeding party, person in a legal dispute
liquor store	hours of operation	alcoholic beverages sold, wine, beer, and spirits available, licensed to sell alcohol, age restrictions apply, variety of brands and labels, location within a store, price range for products, discounts or promotions offered, customer service available
unconscious	can be a symptom of certain medical conditions, can be a source of creativity and inspiration	automatic and unintentional, lack of self-awareness or control, can be induced by drugs or sleep, cognitive processes continue, may result in unpredictable behavior, can be influenced by emotions and experiences, may be difficult to recall events from
clothes	cleanable, wearable, fashionable, washable, breathable, adjustable, protective, comfortable, durable	
improvement	positive change, enhancement, upgrade, advancement, optimization, elevation	betterment, amelioration, strengthening
butler	maintains a professional demeanor, dresses appropriately, adapts to changing circumstances	provides personalized service, manages household tasks, acts as a personal assistant, coordinates social events, discreet and confidential, exhibits attention to detail
series	unfolding, ongoing, progressive, connected, ordered, sequential, continuous, infinite	having a beginning and end
effectiveness	can have a positive impact, can be used to make informed decisions	measures success or failure, compared to a standard or benchmark, can be evaluated quantitatively or qualitatively, may be influenced by various factors, can be improved or enhanced, can be compared to other alternatives, can be measured in different contexts
south pole	natural wonder	antarctica, coldest place on earth, no permanent residents, only accessible by plane or ship, site of scientific research, location of the south pole, home to penguins and seals, uninhabited by humans
brad	appearance, relationships, personality, hobbies, interests, occupation, age, name, gender	
medicine ball	can be used for both men and women, can be used for various exercises, comes in different sizes and weights, can be made of different materials	helps improve strength and endurance, helps improve posture and posture awareness, can be used for different fitness levels, good for core and balance training, can be used for rehabilitation and injury recovery
enter	input, acknowledgement, acknowledged, validation, recognized, acknowledgment, output, response, feedback	
address	locality, state or province, region, time zone, city, country, unique identifier	street address, postal or zip code
star	shining, magnetic, distant, huge, massive, bright, hot, beautiful	twinkling
ray gun	can be used for both offense and defense, uses advanced technology, has a high rate of fire, has a wide range of applications	fires beams of energy, can cause damage to targets, typically depicted in science fiction, has a futuristic design, can be powered by various sources, can be used in space
following	linguistic_features, historical_context, phrases, cultural_significance, antonyms, idioms, related_concepts, synonyms, example, definition	
control theory	predictive modeling, optimization	feedback control, stable equilibrium, system dynamics, robustness, nonlinear systems, adaptive control, computational methods
main	principal, primary, core, dominant, leading, key, central, essential	chief
storage device	various sizes, different types, uses flash memory, stores data, affordable, easy to use, reliable	accesses data, stores files, transfers data
plate appearance	oval, square, rectangular, smooth, flat, round	without handles, with ridges, with handles, with patterns
computer program	uses data, can perform tasks, can be modified, can be shared	written in code, executes instructions, made up of algorithms, can be optimized, can be debugged
registered mail	trackable	deliverable to specific address, signature proof of delivery, postage paid by sender, not necessarily urgent, can be traced back to sender, may require additional processing time, may require a signature upon delivery, not necessarily sent via postal service
air space	air is a mixture of gases	space is the void between objects, air is essential for human survival, space exploration is possible, air can be polluted, air can be used for transportation, space is vast and uncharted, space is home to many celestial bodies, air can be a source of noise pollution, space is a place of wonder and discovery
football	shoot, kick, pass, score, goal, team, ball, field	tackle, foul
perimeter	can be used to solve problems, can be measured in different units	distance around a shape, measured in units of length, can be used to compare shapes, can be found using formula, can be calculated using side lengths, is a fundamental concept in geometry, is used in real-world applications
distribution	multimodal, uneven, broad, discrete, heterogeneous, uniform, continuous	bimodal, skewed, clustered
toilet	uses water, can be cleaned	flushes waste, provides hygiene, may have a seat, can be plumbed, may have a handle, may have a lid, may have a trap, may have a vent
elder	mentoring, guiding, respected, wise, nurturing, wise, experienced, caring, protective, leadership	
moon	glows in dark, orbits earth, no atmosphere, lunar cycle	natural satellite, phase cycles, cold surface, eclipses, unaffected by wind, low gravity
jump	deceleration, balance, acceleration, height, action, stability, control, movement, speed	
scotia	has distinctive call	north american bird, found in forests, migratory pattern, monogamous behavior, known for distinctive crest, feeds on insects, found in eastern canada, known for distinctive plumage, found in western canada
impact	direct, long-lasting, significant, widespread, negative, predictable, positive, measurable	causal, indirect
broken heart	heartache, despair, grief, pain, sadness, emotional distress, loss	mental anguish, hurt
highlights	emphasizes important information	draws attention to key points, illuminates key features or aspects, highlights contrasts or differences, calls attention to significance, hightlights positives or advantages, underlines relevance or importance, shines light on hidden aspects, reveals underlying details
prosecution	definition:	legal action taken by state on behalf of victim, goal: seek justice and punishment, types: criminal, civil, elements: evidence, witnesses, laws, procedures: investigation, trial, sentencing, standards: fairness, due process, rights: defense, appeal, consequences: punishment, restitution
holding pattern	temporary storage	transitional state, pausing action, delaying outcome, hesitation tactic, holding back, waiting period, deferring decision, postponing action
water gate	can be automatic or manual	a structure that controls water flow, used to regulate water flow in rivers, helps prevent flooding and erosion, can be used for irrigation and drinking water, can be built into dams or levees, can be used for hydroelectric power generation, can be used for water sports and recreation, can be used for wastewater treatment, can be used for aquatic life conservation
missile	stealth technology, fast and agile	long-range capability, high-speed flight, guided by gps or other systems, warhead or payload delivery, high-powered propulsion systems, sophisticated guidance systems, multiple target engagement, variable trajectory
audit	risk-based, documented, periodic, thorough, compliance, systematic, unbiased, objective, independent	
comment	can be used to express frustration or disagreement	expression of opinion or sentiment, can be positive, negative, or neutral, can be made in response to a post or article, can be made by an individual or group, can be made publicly or privately, can be made through various mediums (e.g. text, audio, video), can be used to start a conversation or debate, can be used to show appreciation or support, can be used to share personal experiences or views
master bedroom	tidy, spacious, intimate, personalized, relaxing, private, comfortable, quiet	well-lit
quiet	still, muted, unruffled, tranquil, serene, soothing, calm, peaceful	undisturbed
cruise missile	guided, long-range, high-speed, stealthy, accurate	nuclear or conventional payload, low-level flight, advanced guidance systems, high-altitude launch, multi-target capability
showing	appealing, persuasive, authentic, varied, entertaining, engaging, communicative, relevant, expressive, informative	
lumber	wooden, hard, rectangular, durable, sustainable, adaptable, natural, flexible	workable, sawable
cycle	recursive, rotational, self-sustaining, periodic, continuous	linear motion, travels around a fixed axis, wheel-like, has a starting and ending point
physical	real, matter, observed, tangible, experienced, sensory, quantifiable, objective, measurable	
brick	has a flat rectangular shape, can be found in different sizes, can be used as a weapon, has a long history of use	made of clay and shale, used for building and construction, can be used as a doorstop, typically red in color, has a rough texture, can be used as a paperweight
fist	index, closed, middle, open, digital	hand, five, thumb, pinky, ring
chase	quick, adventurous, exciting, active, energetic, agile, fun	pursuing, following
album track	release date, composer, lyricist, label, producer, artist, title, genre	album name, track length
milk tea	dairy, thermal, flavors, warming, hydrating, refreshing, sweet	beverage, caffeine
underground	subterranean, confined, damp, wet, narrow, dark, hidden, cold, quiet	
bin	can be found in many settings, holds items, can be used for organizing, has a lid, can be used for storage, comes in different sizes, can be made of various materials	can be used for disposing of waste, can be used for recycling
dive	marine life observation, scuba diving, underwater exploration, snorkeling, water sports, swimming	deep-sea exploration, submarine travel, equipment usage, risk of nitrogen narcosis
heat map	can be interactive or static	visual representation of geographic or spatial data, displays temperature or density variations, uses different colors to represent different values, can be used for various purposes such as market analysis, can be created using various techniques and tools, can be used for location-based services, can be used for data visualization, can be used for spatial analysis, can be used for mapping and exploring data
remark	can be positive or negative	a comment or observation, may be made in response to something, can be made by anyone, may be made in a variety of settings, may be made publicly or privately, can be made for various reasons, can be made using various mediums, may be made with different levels of formality
ivory	white, rare, historical significance, valuable, natural	from elephant tusks, cultural importance, illegal to trade, artistic use
advantage	excellence, prosperity, gain, progress, benefit, profit, success, value	favor
iron ore	abundant, non-flammable, non-toxic, heavy, ductile, malleable, natural	ore, ferromagnetic, chemically reactive
guilt	self-blame, regret, moral responsibility, embarrassment, negative emotions, anxiety, emotional distress	conscience, shame, defensiveness
brass ring	has a rich history and cultural significance, may be used in a humorous or ironic way	a symbol of achievement or success, often used in circus or carnival contexts, represents a coveted prize or goal, may refer to a tangible object or intangible reward, can be used metaphorically to describe a dream or aspiration, may be associated with luck or fortune, can be used to describe a desired outcome or outcome, can be a source of motivation or inspiration
car	has seats, has a steering wheel, has a body, has a trunk	has four wheels, has an engine, has a brake, can be driven, can be parked, has a accelerator
shin	used in martial arts, has multiple meanings	related to chinese culture, can be used as a suffix, means 'heart' or 'mind', can be a surname, has japanese and korean roots, used in anatomy, can be a name
arrow	pointy, steady, thin, quiet, accurate, durable, lightweight, fast, flexible	easy to handle
movie theatre	screens, screen size, projection technology, concessions, sound system, seating capacity, location	audio format, showtimes
competition	increases, rewards, motivates, creates, variety, fair, innovation, objective, measurable	
arctic fox	hunts small mammals and birds	cold-adapted, white fur for camouflage, short, thick fur for warmth, lives in arctic tundra, can survive in temperatures down to -50°c, unique red paw pads, has a thick layer of fat for insulation, can climb trees and rocks, has a 6-month breeding season
digital video	frame rate, streaming, audio, visual, resolution	compressed, codecs, bit rate, file formats
match play	outdoor, sports, cooperative, strategy, competitive, physical, teamwork, fun, social	
seating	ergonomic, space-saving, aesthetically pleasing, adjustable, affordable, customizable, comfortable, durable, supportive	
shelf life	ingredients, manufacturing process, packaging, humidity, quality, temperature, duration	product type, storage conditions
love	unconditional, empowering, connection, selfless, personal growth, emotional, positive	life-affirming, deep understanding
customer base	income level, age range, occupation, gender, location	product preferences, social media usage, purchase history, online behavior
circumstance	contextual, changing, multifaceted, temporal, interconnected, complex, influential, unpredictable	situational
production record	input, records, processing, output, data, management, information, quality, control	
injury	severity, cause, compensation, prevention, treatment, type, location	prognosis, legalities
interior design	incorporates technology and sustainability	creates aesthetically pleasing spaces, enhances functionality and flow, reflects personal style and preferences, considers lighting, color, and texture, balances form and function, aligns with architectural style, optimizes space utilization, fosters comfortable living environments
warm	tactile, heat, warmth, cozy, sensory, soothing, relaxing, comfortable, temperature	
permit	authorizes action, specific purpose, issued by authority, non-transferable, legal document, time-bound	issued for public benefit, enforced by law, subject to conditions
green sea	tides, salinity, depth, weather, temperature, color, size, location	marine life
bread roll	typically served warm, can be homemade or store-bought, round in shape	made from dough, proofed in oven, usually served with meals, can be buttered or topped, has a soft texture, can be used as a base for sandwiches
employment	hours, profession, workplace, job, wages, career, skills, work, benefits, income	
dictatorship	abuse of power, limited political freedoms, suppression of opposition, no term limits, lack of accountability	one-party rule, no checks on power, autocratic leadership, propaganda and manipulation, repression of dissent
olive oil	is a renewable resource, has a rich history, can be used in cooking, has a long shelf life	comes from olives, has a distinct taste, is a healthy fat, is a popular ingredient in mediterranean cuisine, can be used for skin care
fire	can be extinguished, produces heat, can be hot, burns, can cause damage, can be controlled, can be used for cooking, can be dangerous	requires oxygen, can spread
match referee	experienced, impartial, professional, calm, knowledgeable, neutral, fair, objective, consistent	
todd	eager, inquisitive, silly, exuberant, active, playful, curious	rambunctious, talkative
empathy	listening actively and attentively, being non-judgmental and open-minded, being a good friend and ally	understanding and sharing the feelings of others, putting oneself in someone else's shoes, showing compassion and kindness, respecting the experiences and perspectives of others, offering support and comfort
reservoir	provides irrigation, can be used for flood control, man-made, regulates water flow, can be used for drinking water supply, holds water, can be used for recreation	stores water, can be used for hydroelectric power
link	provides access, facilitates communication	connects two things, allows navigation, transfers information, enables actions, creates relationships, offers shortcuts, simplifies navigation
affiliate	commission, branding, association, sales, marketing, network, partnership, revenue	referral
nest box	can be made by hand or industrially, can be customized with different designs, made of various materials, can be used for different purposes	provides shelter for birds, varies in size and shape, can be used for different bird species, helps protect birds from predators, can be placed in different locations
bone china	translucent, expensive, fragile, delicate	made from bone ash and feldspar, porcelain-like material, glossy finish, dainty, traditional english dinnerware
transformation	metamorphosis, conversion, transformation, adaptation, transition, evolution, change	shapeshifting, reinvention
barton	a type of tree, a type of fruit, a type of bird	a place where beer is brewed, a type of train, a unit of length equal to 3 feet, a river in england, a type of dance, a type of music, a type of building material
portland	has a diverse population, has a strong sense of community, is a popular destination for tourists	located in oregon, known for food trucks, home to many breweries, famous for cycling culture, hosts the portland rose festival, has a vibrant arts scene, is known for its rainy weather
water table	supports aquatic life, hydrological cycle, freshwater resource, ecosystem services, affects water quality, nutrient cycling	absorbs and transports heat, dissolves solids and gases, influences weather patterns, provides drinking water
rain man	popular culture reference	autistic savant, extraordinary memory, mathematical prodigy, exceptional intelligence, unusual talents, unique abilities, neurodiverse, inspiring story
champagne	french, luxury, dry, sweet	bubbly, sparkling wine, white wine, special occasions, red wine
spokeswoman	media, inclusion, spokesperson, diversity, representative, leadership, communication, gender	women
situation comedy	genre	humorous situations, witty dialogue, comedic characters, satire or parody, audience laughter, lighthearted tone, storylines resolved, cliffhangers, running time
turf	grassy, recreation, sports, outdoor, flat	gaming, stadium, turf_wars, turf_football
commission	can be negotiable, can be a source of conflict	defined as a percentage of a sales transaction, typically paid to salespeople or agents, can be a flat fee or a percentage, varies by industry or company, expressed as a dollar amount or percentage, paid to the seller or buyer, can be a one-time payment or ongoing, regulated by laws and regulations
executive branch	signs bills into law	headed by president, carries out and enforces laws, appoints federal judges, commands military, nominates cabinet members, represents us in international relations, has veto power, headquarters in white house, responsible for national security
negotiator	strategic thinker, conflict resolution, collaborative, empathetic, flexible	skilled communicator, cultural competency, results-oriented, problem solver, negotiation techniques
baby food	age-appropriate, variety of flavors, nutritious	easy to digest, safety-tested, no added sugars, made from fresh ingredients, spoon-able, refrigerate after opening, made for babies 6-12 months
radar	used in weather forecasting	detects objects using radio waves, measures distance and speed, used in military surveillance, can detect moving objects, can detect objects in different frequencies, operates on electromagnetic principle, used in air traffic control, can detect objects in different directions
duck	eggs, feathers, bill, fat, swims, webbed feet	waddles, quacks, flaps, dives
butterfly bush	sun-loving, low-maintenance, drought-tolerant, attracts butterflies	colorful flowers, aromatic foliage, easy to grow, attracts hummingbirds, provides habitat for beneficial insects, beautifies gardens
jenny	appearance, background, personality, hobbies, interests, occupation, age, name, gender	
dish	can be cooked in various ways, edible	made with ingredients, served hot/cold, can be savory/sweet, can be served as main/side dish, can be made from various ingredients, can be eaten with hands/utensils, can be served in different settings
turnout	can be influenced by various factors	defined as a percentage of eligible voters casting ballots, varies by election, location, and demographic, can indicate level of political engagement, can influence election outcomes, can be measured by different methods, can be affected by voter suppression, can be affected by voting rights, can be affected by election security
queen mother	royal, regal, monarch, authoritative, hereditary, royalty, noble	matriarch, maternal, matriarchal
blind date	nervous, exciting, unpredictable	hopes for connection, surprise ending, potential for awkwardness, fear of rejection, new experiences, risk of disappointment
angel hair	floating, subtle, silky, fine, gentle, soft, delicate, invisible	whisper-thin
hip	located in pelvis, allows for movement, supports body weight, ball-and-socket joint, strong, flexible	relates to dance, important for mobility, relates to culture, relates to music
dependence	interpersonal, psychological, cognitive, financial, physical, emotional, social	logistical, behavioral
junk	can be a nuisance, can be harmful to the environment	not useful or valuable, often discarded or thrown away, may contain toxic materials, has little or no monetary value, can be a source of waste, is often overlooked or ignored, is not essential or necessary, may have negative impact on health
rejection	unwelcome, disagreement, unwanted	refusal, denial, disapproval, negative response, saying no, turning down, unacceptance
dynasty	royal lineage, long-lasting, cultural impact, legacy, historical significance	ruling family, power succession, political influence, geographical reach
fine	tactile, refined, sensitive, precise, gentle, distinct, delicate, clear, smooth	
costume drama	over-the-top acting, historical accuracy, epic scope	period-specific details, dramatic storytelling, elaborate costumes, romance and intrigue, opulent sets, gritty realism
reserve currency	stable value, issued by governments, used for international transactions, limited supply, legal tender	used by central banks for foreign exchange reserves, low volatility, acts as a store of value, often pegged to us dollar, inflation-proof
train track	railway, bridge, rails, stations, train, tracks, platform, linear	depot, tunnel
possibility	likelihood, chance, probability	feasibility, potentiality, impossibility, unlikelihood, fatness, thinness
drag queen	creates a character or persona, can be a way to challenge societal norms	performs in drag for entertainment, uses makeup and costumes to transform, may perform in clubs, bars, or events, often involves acting, singing, and dancing, may be a part of lgbtq+ culture, may be a form of self-expression or art, can be a source of humor or satire
bow tie	made from a variety of materials, can be a statement piece, can be worn for formal or informal occasions, can be dressed up or down, can be used to express personal style, can be worn by both men and women	neat and tidy, classy and sophisticated, versatile and can be worn with various outfits, comes in different styles and patterns
expense	tax-deductible, payment, cost	deductible, incursion, incurred, reimbursable, incurred amount, incurred cost
going	mode, destination, path, journey, motion, travel, direction, movement, purpose	
mini	economical, stylish, convenient, compact, easy to use, affordable, versatile, portable, small	
romantic	romantic gestures, passion, affection, intimacy, shared experiences, love, emotional connection	emotional bonding, romantic partnership
valentine	gifts, romance, hugs, flowers, love	cards, kisses, chocolates, february
refuse	may be used in a humorous or ironic way	means to reject or decline something, can be used to dispose of something unwanted, may refer to a container for waste, can be used to express disagreement or dissent, may be associated with cleanliness and hygiene, can be used to indicate a lack of interest or desire, may be used in a polite or courteous manner, can be used to indicate a decision or choice, can be used to describe something that is not wanted or needed
compromise	mutually beneficial	finding middle ground, settling for less than ideal, meeting in the middle, giving and taking, fairness and equality, making concessions, resolving conflicts, creating a win-win situation
green wave	refers to a color, can be used in art and design	associated with nature, can represent growth, may symbolize harmony, can be found in different hues, can evoke feelings of calmness, often used in branding, may be used to represent hope
intelligence agency	operates within legal and ethical frameworks	collects and analyzes information, provides strategic advice, conducts surveillance and reconnaissance, investigates crimes and threats, maintains secrecy and confidentiality, works with other agencies and organizations, conducts covert operations, uses advanced technology and analytics, protects national security and interests
satellite navigation	real-time traffic updates	uses satellites for navigation, provides location information, uses gps technology, reliant on satellite signals, precise locationing, weather forecasts, location-based services, global coverage
house rule	promotes harmony, can be modified, changes over time	establishes guidelines, applies to all members, created by household, enforced by consensus, respects individual rights, distinct from laws, can be ambiguous
rocket engine	can reach high altitudes	fueled by liquid propellant, uses combustion to generate thrust, high-speed exhaust gases, powerful and efficient, needs careful control and monitoring, can be used for launching spacecraft, requires complex design and manufacturing, has limited lifespan due to wear and tear
nancy	quirks, marital status, personality traits, nationality, hobbies, interests, occupation, name, age, gender	
battle	can involve multiple parties	combatants engage in physical fight, use of weapons and tactics, objective to defeat opponent, can result in injury or death, can have political or social motivations, can be fought on land or sea or air, can be a part of larger conflict, can have cultural or historical significance
load	carries weight, can be increased, transfers energy, can be lifted, can be distributed, can be lowered, can be measured, can be transferred, can be moved	can be decreased
time deposit	withdrawal restrictions	fixed interest rate, tiered interest rates, compound interest, minimum deposit requirements, fixed term deposit, variable term deposit, tax-free interest, inflation-adjusted returns
month	has a fixed duration	has 30 or 31 days, has a new moon, has a full moon, has a solstice or equinox, is a unit of time, is a measure of time, is a period of time, is a cycle of time, is a standard unit of measurement
promotion	builds customer loyalty, provides value to customers, creates emotional connections	increases visibility and awareness, enhances brand reputation, generates leads and sales, improves customer retention, increases employee morale, increases market share
web	platform, information, resources, services, global, interconnected, accessible, communication	browsing
sand storm	can disrupt transportation, can cause structural damage, dangerous	dusty, major weather event, can cause respiratory issues, causes visibility problems, affects large areas, can last for hours or days
combat sport	risk of injury, global popularity, physical contact, skill-based, competitive	strategy involved, variety of disciplines, regulated rules, athleticism required
bell tower	historic landmark, community gathering place, tourist attraction	towering structure, ringing bells, musical notes, church or cathedral, symbol of culture, local landmark, architectural beauty
attraction	humor, physical appearance, intelligence, common interests, shared values, confidence, vulnerability, personality, empathy	
library	hosts events	houses books, provides knowledge, offers quiet study spaces, lends materials, offers research assistance, employs librarians, maintains catalogs, serves community
substance	toxicity, boiling point, smell, solubility, taste, melting point, density, color	physical or chemical makeup
pledge	pledge, promise, promise, vow, obligation, agreement, commitment	oath, covenant
love interest	shared interests, intimacy, emotional connection, trust, support, communication	personality compatibility, physical attraction, common values
grab	seize, release, grasp, hands, hold, grip	fingers, tighten
